"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.353887605E2,2.387999916E1,5.213999939E1,-1.523999977E1
1.353987593E2,2.411999893E1,5.243999863E1,-1.529999924E1
1.354087581E2,2.435999870E1,5.237999725E1,-1.493999958E1
1.354187568E2,2.453999901E1,5.231999969E1,-1.451999950E1
1.354287556E2,2.429999924E1,5.268000031E1,-1.439999962E1
1.354387544E2,2.400000000E1,5.303999710E1,-1.379999924E1
1.354487531E2,2.387999916E1,5.321999741E1,-1.379999924E1
1.354587518E2,2.369999886E1,5.352000046E1,-1.409999943E1
1.354687505E2,2.357999992E1,5.357999802E1,-1.403999996E1
1.354787492E2,2.400000000E1,5.363999939E1,-1.427999973E1
1.354887479E2,2.418000031E1,5.381999969E1,-1.421999931E1
1.354987466E2,2.423999977E1,5.357999802E1,-1.373999977E1
1.355087453E2,2.460000038E1,5.315999985E1,-1.367999935E1
1.355187440E2,2.465999985E1,5.297999954E1,-1.367999935E1
1.355287427E2,2.477999878E1,5.297999954E1,-1.379999924E1
1.355387414E2,2.507999992E1,5.309999847E1,-1.392000008E1
1.355487401E2,2.477999878E1,5.352000046E1,-1.361999989E1
1.355587389E2,2.429999924E1,5.334000015E1,-1.361999989E1
1.355687376E2,2.400000000E1,5.315999985E1,-1.361999989E1
1.355787363E2,2.369999886E1,5.345999908E1,-1.409999943E1
1.355887351E2,2.357999992E1,5.345999908E1,-1.469999981E1
1.355987338E2,2.387999916E1,5.369999695E1,-1.463999939E1
1.356087326E2,2.393999863E1,5.393999863E1,-1.451999950E1
1.356187313E2,2.369999886E1,5.387999725E1,-1.385999966E1
1.356287300E2,2.369999886E1,5.357999802E1,-1.367999935E1
1.356387288E2,2.339999962E1,5.363999939E1,-1.373999977E1
1.356487276E2,2.303999901E1,5.357999802E1,-1.361999989E1
1.356587263E2,2.279999924E1,5.345999908E1,-1.385999966E1
1.356687251E2,2.250000000E1,5.381999969E1,-1.355999947E1
1.356787239E2,2.226000023E1,5.405999756E1,-1.355999947E1
1.356887226E2,2.165999985E1,5.423999786E1,-1.338000011E1
1.356987214E2,2.165999985E1,5.436000061E1,-1.307999992E1
1.357087201E2,2.160000038E1,5.441999817E1,-1.284000015E1
1.357187189E2,2.111999893E1,5.418000031E1,-1.247999954E1
1.357287176E2,2.111999893E1,5.393999863E1,-1.205999947E1
1.357387163E2,2.069999886E1,5.411999893E1,-1.223999977E1
1.357487151E2,2.052000046E1,5.429999924E1,-1.223999977E1
1.357587139E2,2.063999939E1,5.447999954E1,-1.211999989E1
1.357687127E2,2.057999992E1,5.471999741E1,-1.230000019E1
1.357787115E2,2.069999886E1,5.459999847E1,-1.169999981E1
1.357887103E2,2.052000046E1,5.447999954E1,-1.127999973E1
1.357987091E2,1.992000008E1,5.453999710E1,-1.103999996E1
1.358087080E2,1.973999977E1,5.429999924E1,-1.031999969E1
1.358187069E2,1.913999939E1,5.465999985E1,-9.960000038E0
1.358287058E2,1.884000015E1,5.484000015E1,-9.719999313E0
1.358387047E2,1.871999931E1,5.495999908E1,-9.599999428E0
1.358487035E2,1.842000008E1,5.519999695E1,-9.300000191E0
1.358587024E2,1.805999947E1,5.495999908E1,-8.699999809E0
1.358687013E2,1.769999886E1,5.477999878E1,-8.220000267E0
1.358787001E2,1.715999985E1,5.453999710E1,-7.379999638E0
1.358886990E2,1.679999924E1,5.453999710E1,-7.199999809E0
1.358986978E2,1.661999893E1,5.459999847E1,-7.019999981E0
1.359086967E2,1.631999969E1,5.495999908E1,-6.539999962E0
1.359186955E2,1.631999969E1,5.537999725E1,-5.759999752E0
1.359286944E2,1.589999962E1,5.543999863E1,-4.679999828E0
1.359386933E2,1.547999954E1,5.555999756E1,-3.539999962E0
1.359486921E2,1.517999935E1,5.573999786E1,-2.519999981E0
1.359586909E2,1.446000004E1,5.561999893E1,-1.679999948E0
1.359686898E2,1.392000008E1,5.550000000E1,-6.599999666E-1
1.359786887E2,1.355999947E1,5.550000000E1,3.599999845E-1
1.359886876E2,1.284000015E1,5.513999939E1,1.019999981E0
1.359986864E2,1.277999973E1,5.507999802E1,1.740000010E0
1.360086853E2,1.253999996E1,5.519999695E1,2.519999981E0
1.360186842E2,1.217999935E1,5.502000046E1,3.000000000E0
1.360286830E2,1.223999977E1,5.495999908E1,3.839999914E0
1.360386819E2,1.205999947E1,5.453999710E1,4.259999752E0
1.360486808E2,1.205999947E1,5.465999985E1,4.920000076E0
1.360586796E2,1.193999958E1,5.477999878E1,5.460000038E0
1.360686784E2,1.211999989E1,5.495999908E1,5.699999809E0
1.360786773E2,1.230000019E1,5.513999939E1,5.639999866E0
1.360886761E2,1.205999947E1,5.519999695E1,5.339999676E0
1.360986749E2,1.205999947E1,5.525999832E1,5.159999847E0
1.361086737E2,1.188000011E1,5.484000015E1,5.159999847E0
1.361186724E2,1.175999928E1,5.484000015E1,5.639999866E0
1.361286712E2,1.181999969E1,5.465999985E1,5.940000057E0
1.361386699E2,1.205999947E1,5.477999878E1,5.699999809E0
1.361486686E2,1.235999966E1,5.507999802E1,5.639999866E0
1.361586674E2,1.242000008E1,5.543999863E1,4.920000076E0
1.361686661E2,1.242000008E1,5.537999725E1,3.899999857E0
1.361786648E2,1.259999943E1,5.543999863E1,3.179999828E0
1.361886636E2,1.284000015E1,5.568000031E1,2.159999847E0
1.361986623E2,1.313999939E1,5.543999863E1,1.139999986E0
1.362086610E2,1.355999947E1,5.579999924E1,3.599999845E-1
1.362186598E2,1.367999935E1,5.555999756E1,-3.599999845E-1
1.362286586E2,1.361999989E1,5.573999786E1,-1.559999943E0
1.362386573E2,1.379999924E1,5.621999741E1,-2.460000038E0
1.362486560E2,1.397999954E1,5.645999908E1,-3.599999905E0
1.362586548E2,1.434000015E1,5.663999939E1,-4.799999714E0
1.362686535E2,1.529999924E1,5.652000046E1,-4.980000019E0
1.362786523E2,1.547999954E1,5.645999908E1,-5.759999752E0
1.362886510E2,1.613999939E1,5.639999771E1,-6.119999886E0
1.362986498E2,1.668000031E1,5.639999771E1,-6.659999847E0
1.363086485E2,1.685999870E1,5.634000015E1,-7.199999809E0
1.363186472E2,1.734000015E1,5.615999985E1,-7.559999943E0
1.363286460E2,1.787999916E1,5.597999954E1,-7.679999828E0
1.363386448E2,1.823999977E1,5.591999817E1,-8.039999962E0
1.363486435E2,1.794000053E1,5.555999756E1,-8.579999924E0
1.363586422E2,1.847999954E1,5.543999863E1,-9.000000000E0
1.363686410E2,1.860000038E1,5.555999756E1,-1.013999939E1
1.363786398E2,1.865999985E1,5.568000031E1,-1.055999947E1
1.363886385E2,1.937999916E1,5.621999741E1,-1.139999962E1
1.363986373E2,1.937999916E1,5.639999771E1,-1.193999958E1
1.364086361E2,1.955999947E1,5.603999710E1,-1.230000019E1
1.364186348E2,1.985999870E1,5.555999756E1,-1.289999962E1
1.364286336E2,1.997999954E1,5.489999771E1,-1.343999958E1
1.364386323E2,2.027999878E1,5.436000061E1,-1.397999954E1
1.364486311E2,2.063999939E1,5.405999756E1,-1.415999985E1
1.364586298E2,2.111999893E1,5.381999969E1,-1.446000004E1
1.364686285E2,2.153999901E1,5.393999863E1,-1.446000004E1
1.364786272E2,2.184000015E1,5.381999969E1,-1.439999962E1
1.364886259E2,2.165999985E1,5.405999756E1,-1.434000015E1
1.364986246E2,2.189999962E1,5.381999969E1,-1.397999954E1
1.365086233E2,2.202000046E1,5.334000015E1,-1.403999996E1
1.365186220E2,2.207999992E1,5.321999741E1,-1.415999985E1
1.365286208E2,2.207999992E1,5.321999741E1,-1.373999977E1
1.365386195E2,2.207999992E1,5.363999939E1,-1.367999935E1
1.365486182E2,2.213999939E1,5.357999802E1,-1.307999992E1
1.365586170E2,2.226000023E1,5.352000046E1,-1.265999985E1
1.365686156E2,2.268000031E1,5.345999908E1,-1.259999943E1
1.365786144E2,2.243999863E1,5.352000046E1,-1.223999977E1
1.365886131E2,2.255999947E1,5.369999695E1,-1.230000019E1
1.365986118E2,2.255999947E1,5.363999939E1,-1.205999947E1
1.366086106E2,2.268000031E1,5.339999771E1,-1.217999935E1
1.366186093E2,2.327999878E1,5.291999817E1,-1.235999966E1
1.366286081E2,2.310000038E1,5.273999786E1,-1.230000019E1
1.366386068E2,2.297999954E1,5.261999893E1,-1.259999943E1
1.366486056E2,2.243999863E1,5.243999863E1,-1.242000008E1
1.366586044E2,2.243999863E1,5.237999725E1,-1.242000008E1
1.366686031E2,2.273999977E1,5.237999725E1,-1.242000008E1
1.366786018E2,2.297999954E1,5.207999802E1,-1.200000000E1
1.366886006E2,2.387999916E1,5.184000015E1,-1.253999996E1
1.366985994E2,2.387999916E1,5.184000015E1,-1.301999950E1
1.367085981E2,2.387999916E1,5.159999847E1,-1.361999989E1
1.367185968E2,2.429999924E1,5.184000015E1,-1.397999954E1
1.367285956E2,2.423999977E1,5.184000015E1,-1.409999943E1
1.367385943E2,2.453999901E1,5.153999710E1,-1.409999943E1
1.367485930E2,2.484000015E1,5.129999924E1,-1.434000015E1
1.367585918E2,2.442000008E1,5.129999924E1,-1.446000004E1
1.367685906E2,2.453999901E1,5.123999786E1,-1.493999958E1
1.367785894E2,2.435999870E1,5.141999817E1,-1.481999969E1
1.367885882E2,2.442000008E1,5.153999710E1,-1.427999973E1
1.367985870E2,2.465999985E1,5.153999710E1,-1.415999985E1
1.368085858E2,2.477999878E1,5.136000061E1,-1.379999924E1
1.368185845E2,2.453999901E1,5.147999954E1,-1.392000008E1
1.368285833E2,2.465999985E1,5.141999817E1,-1.409999943E1
1.368385821E2,2.477999878E1,5.129999924E1,-1.415999985E1
1.368485809E2,2.460000038E1,5.177999878E1,-1.397999954E1
1.368585798E2,2.477999878E1,5.171999741E1,-1.403999996E1
1.368685788E2,2.477999878E1,5.189999771E1,-1.397999954E1
1.368785778E2,2.442000008E1,5.202000046E1,-1.403999996E1
1.368885768E2,2.429999924E1,5.165999985E1,-1.403999996E1
1.368985758E2,2.435999870E1,5.153999710E1,-1.379999924E1
1.369085748E2,2.376000023E1,5.153999710E1,-1.350000000E1
1.369185738E2,2.405999947E1,5.159999847E1,-1.392000008E1
1.369285728E2,2.405999947E1,5.195999908E1,-1.403999996E1
1.369385719E2,2.423999977E1,5.219999695E1,-1.439999962E1
1.369485710E2,2.418000031E1,5.243999863E1,-1.511999989E1
1.369585700E2,2.369999886E1,5.213999939E1,-1.481999969E1
1.369685690E2,2.363999939E1,5.184000015E1,-1.481999969E1
1.369785681E2,2.339999962E1,5.184000015E1,-1.469999981E1
1.369885671E2,2.393999863E1,5.219999695E1,-1.446000004E1
1.369985662E2,2.411999893E1,5.243999863E1,-1.475999928E1
1.370085652E2,2.405999947E1,5.303999710E1,-1.427999973E1
1.370185643E2,2.411999893E1,5.291999817E1,-1.434000015E1
1.370285634E2,2.369999886E1,5.250000000E1,-1.415999985E1
1.370385624E2,2.357999992E1,5.315999985E1,-1.415999985E1
1.370485615E2,2.387999916E1,5.255999756E1,-1.488000011E1
1.370585606E2,2.376000023E1,5.291999817E1,-1.469999981E1
1.370685596E2,2.393999863E1,5.291999817E1,-1.488000011E1
1.370785587E2,2.418000031E1,5.279999924E1,-1.446000004E1
1.370885577E2,2.357999992E1,5.291999817E1,-1.361999989E1
1.370985567E2,2.369999886E1,5.291999817E1,-1.343999958E1
1.371085558E2,2.351999855E1,5.321999741E1,-1.325999928E1
1.371185549E2,2.345999908E1,5.303999710E1,-1.289999962E1
1.371285539E2,2.363999939E1,5.327999878E1,-1.338000011E1
1.371385530E2,2.381999969E1,5.291999817E1,-1.325999928E1
1.371485519E2,2.400000000E1,5.297999954E1,-1.325999928E1
1.371585508E2,2.393999863E1,5.286000061E1,-1.343999958E1
1.371685497E2,2.411999893E1,5.291999817E1,-1.338000011E1
1.371785485E2,2.345999908E1,5.357999802E1,-1.331999969E1
1.371885473E2,2.321999931E1,5.339999771E1,-1.350000000E1
1.371985461E2,2.339999962E1,5.339999771E1,-1.331999969E1
1.372085449E2,2.321999931E1,5.327999878E1,-1.319999981E1
1.372185436E2,2.376000023E1,5.286000061E1,-1.331999969E1
1.372285423E2,2.393999863E1,5.297999954E1,-1.289999962E1
1.372385410E2,2.376000023E1,5.303999710E1,-1.296000004E1
1.372485397E2,2.334000015E1,5.345999908E1,-1.271999931E1
1.372585385E2,2.273999977E1,5.363999939E1,-1.259999943E1
1.372685372E2,2.195999908E1,5.327999878E1,-1.284000015E1
1.372785359E2,2.105999947E1,5.339999771E1,-1.242000008E1
1.372885347E2,2.100000000E1,5.321999741E1,-1.223999977E1
1.372985334E2,2.052000046E1,5.334000015E1,-1.169999981E1
1.373085322E2,2.045999908E1,5.381999969E1,-1.085999966E1
1.373185309E2,2.057999992E1,5.387999725E1,-1.097999954E1
1.373285296E2,2.057999992E1,5.375999832E1,-1.055999947E1
1.373385284E2,2.021999931E1,5.363999939E1,-9.899999619E0
1.373485271E2,1.968000031E1,5.381999969E1,-9.359999657E0
1.373585258E2,1.937999916E1,5.418000031E1,-8.880000114E0
1.373685246E2,1.842000008E1,5.465999985E1,-8.340000153E0
1.373785234E2,1.835999870E1,5.502000046E1,-8.340000153E0
1.373885221E2,1.823999977E1,5.484000015E1,-8.279999733E0
1.373985209E2,1.776000023E1,5.471999741E1,-7.379999638E0
1.374085197E2,1.752000046E1,5.471999741E1,-6.839999676E0
1.374185184E2,1.679999924E1,5.495999908E1,-6.059999943E0
1.374285171E2,1.583999920E1,5.550000000E1,-5.279999733E0
1.374385159E2,1.523999977E1,5.579999924E1,-4.739999771E0
1.374485147E2,1.469999981E1,5.597999954E1,-3.959999800E0
1.374585133E2,1.457999992E1,5.597999954E1,-3.059999943E0
1.374685120E2,1.463999939E1,5.573999786E1,-2.579999924E0
1.374785108E2,1.463999939E1,5.609999847E1,-2.039999962E0
1.374885095E2,1.392000008E1,5.603999710E1,-1.439999938E0
1.374985082E2,1.367999935E1,5.591999817E1,-8.999999762E-1
1.375085069E2,1.355999947E1,5.621999741E1,-4.199999869E-1
1.375185057E2,1.313999939E1,5.597999954E1,0.000000000E0
1.375285044E2,1.313999939E1,5.621999741E1,5.999999866E-2
1.375385032E2,1.271999931E1,5.663999939E1,1.799999923E-1
1.375485020E2,1.289999962E1,5.634000015E1,4.199999869E-1
1.375585007E2,1.289999962E1,5.645999908E1,7.199999690E-1
1.375684994E2,1.289999962E1,5.652000046E1,6.599999666E-1
1.375784982E2,1.289999962E1,5.597999954E1,1.019999981E0
1.375884970E2,1.217999935E1,5.591999817E1,8.999999762E-1
