"Time (s)","Pressure (hPa)"
1.342062101E2,1.000059326E3
1.343061983E2,1.000045898E3
1.344061865E2,1.000048828E3
1.345061745E2,1.000053467E3
1.346061624E2,1.000074951E3
1.347061504E2,1.000080078E3
1.348061386E2,1.000087158E3
1.349061151E2,1.000085693E3
1.350061033E2,1.000087891E3
1.351060915E2,1.000099365E3
1.352060798E2,1.000099854E3
1.353060680E2,1.000089355E3
1.354060562E2,1.000097168E3
1.355060444E2,1.000101318E3
1.356060325E2,1.000108643E3
1.357060206E2,1.000095703E3
1.358060088E2,1.000100342E3
1.359059970E2,1.000094482E3
1.360059852E2,1.000114014E3
1.361059734E2,1.000105957E3
1.362059617E2,1.000102539E3
1.363059499E2,1.000109131E3
1.364059381E2,1.000108398E3
1.365059263E2,1.000087891E3
1.366059144E2,1.000086426E3
1.367059023E2,1.000067383E3
1.368058902E2,1.000052979E3
1.369058784E2,1.000050537E3
1.370058666E2,1.000048340E3
1.371058547E2,1.000048340E3
1.372058429E2,1.000055420E3
1.373058311E2,1.000050049E3
1.374058193E2,1.000066895E3
1.375058075E2,1.000087891E3
1.376057956E2,1.000099121E3
1.377057837E2,1.000115723E3
1.378057715E2,1.000120361E3
1.379057594E2,1.000127930E3
1.380057474E2,1.000103516E3
1.381057354E2,1.000096680E3
1.382057234E2,1.000115723E3
1.383057113E2,1.000099365E3
1.384056993E2,1.000112549E3
1.385056873E2,1.000108887E3
1.386056753E2,1.000121338E3
1.387056633E2,1.000126221E3
1.388056512E2,1.000145996E3
1.389056391E2,1.000152344E3
1.390056271E2,1.000148682E3
1.391056153E2,1.000140869E3
1.392056035E2,1.000155273E3
1.393055917E2,1.000136230E3
1.394055799E2,1.000124512E3
1.395055682E2,1.000079590E3
1.396055564E2,1.000084717E3
1.397055445E2,1.000090332E3
1.398055327E2,1.000098877E3
1.399055206E2,1.000124512E3
1.400055085E2,1.000143555E3
1.401054967E2,1.000158447E3
1.402054849E2,1.000177246E3
1.403054731E2,1.000188721E3
1.404054613E2,1.000199463E3
1.405054495E2,1.000200684E3
1.406054377E2,1.000209473E3
1.407054260E2,1.000187256E3
1.408054142E2,1.000186035E3
1.409054024E2,1.000172852E3
1.410053905E2,1.000144531E3
1.411053786E2,1.000181396E3
1.412053668E2,1.000191895E3
1.413053550E2,1.000220215E3
1.414053432E2,1.000237549E3
1.415053314E2,1.000233643E3
1.416053197E2,1.000216553E3
1.417053079E2,1.000227783E3
1.418052961E2,1.000225098E3
1.419052843E2,1.000239746E3
1.420052723E2,1.000230713E3
1.421052602E2,1.000226807E3
1.422053838E2,1.000226807E3
1.423053721E2,1.000224609E3
1.424053602E2,1.000193359E3
1.425053484E2,1.000185303E3
1.426053365E2,1.000210938E3
1.427053247E2,1.000218018E3
1.428053129E2,1.000191895E3
1.429053011E2,1.000199219E3
1.430052893E2,1.000214355E3
1.431052772E2,1.000207520E3
1.432052651E2,1.000209473E3
1.433052530E2,1.000241211E3
1.434052410E2,1.000199219E3
1.435052290E2,1.000227539E3
1.436052170E2,1.000199707E3
1.437052050E2,1.000208984E3
1.438051930E2,1.000201904E3
1.439051810E2,1.000206543E3
1.440051690E2,1.000234863E3
1.441051569E2,1.000216797E3
1.442051448E2,1.000244873E3
1.443051327E2,1.000248291E3
1.444051208E2,1.000263916E3
1.445051090E2,1.000245850E3
1.446050972E2,1.000236084E3
1.447050854E2,1.000264648E3
1.448050737E2,1.000232910E3
1.449050619E2,1.000267578E3
1.450050501E2,1.000252197E3
1.451050383E2,1.000211182E3
1.452050265E2,1.000248291E3
1.453050144E2,1.000230225E3
1.454050023E2,1.000240234E3
1.455049904E2,1.000257568E3
1.456049787E2,1.000257080E3
1.457049669E2,1.000273193E3
1.458049551E2,1.000261230E3
1.459049433E2,1.000256592E3
1.460049315E2,1.000240479E3
1.461049197E2,1.000239014E3
1.462049079E2,1.000237793E3
1.463048961E2,1.000221924E3
1.464048842E2,1.000238037E3
1.465048722E2,1.000243652E3
1.466048605E2,1.000217041E3
1.467048487E2,1.000220703E3
1.468048369E2,1.000209717E3
1.469048251E2,1.000207275E3
1.470048133E2,1.000210693E3
1.471048015E2,1.000229736E3
1.472047897E2,1.000256348E3
1.473047779E2,1.000256348E3
1.474047659E2,1.000277100E3
1.475047538E2,1.000278320E3
1.476047418E2,1.000279297E3
1.477047300E2,1.000265381E3
1.478047182E2,1.000272705E3
1.479047064E2,1.000260498E3
1.480046945E2,1.000277588E3
1.481046827E2,1.000288818E3
1.482046709E2,1.000272705E3
1.483046591E2,1.000258301E3
1.484046472E2,1.000248047E3
1.485046352E2,1.000241211E3
1.486046230E2,1.000230469E3
1.487046110E2,1.000236572E3
1.488045990E2,1.000252686E3
1.489045871E2,1.000264893E3
1.490045751E2,1.000264160E3
1.491045631E2,1.000246826E3
1.492045511E2,1.000244873E3
1.493045391E2,1.000237549E3
1.494045270E2,1.000241699E3
1.495045326E2,1.000261963E3
1.496045204E2,1.000268799E3
1.497045083E2,1.000260498E3
1.498044965E2,1.000256836E3
1.499044847E2,1.000238770E3
1.500044729E2,1.000234375E3
1.501044612E2,1.000249512E3
1.502044494E2,1.000267578E3
1.503044376E2,1.000299316E3
1.504044258E2,1.000300293E3
1.505044140E2,1.000299805E3
1.506044021E2,1.000292969E3
1.507043900E2,1.000279053E3
1.508043779E2,1.000314453E3
1.509043662E2,1.000323975E3
1.510043544E2,1.000310547E3
1.511043427E2,1.000297607E3
1.512043309E2,1.000364014E3
1.513043191E2,1.000298828E3
1.514043073E2,1.000300293E3
1.515042955E2,1.000351074E3
1.516042838E2,1.000298584E3
1.517042719E2,1.000313965E3
1.518042600E2,1.000362061E3
1.519042480E2,1.000336670E3
1.520042363E2,1.000319824E3
1.521042245E2,1.000312744E3
1.522042127E2,1.000315186E3
1.523042010E2,1.000326904E3
1.524041892E2,1.000319336E3
1.525041774E2,1.000319336E3
1.526041657E2,1.000332764E3
1.527041539E2,1.000312500E3
1.528041418E2,1.000323730E3
1.529041297E2,1.000322998E3
1.530041178E2,1.000309570E3
1.531041060E2,1.000321777E3
1.532040941E2,1.000324463E3
1.533040823E2,1.000338379E3
1.534040705E2,1.000342773E3
1.535040587E2,1.000336182E3
1.536040469E2,1.000335938E3
1.537040350E2,1.000338867E3
1.538040232E2,1.000321289E3
1.539040111E2,1.000318848E3
1.540039989E2,1.000330566E3
1.541039869E2,1.000343506E3
1.542039749E2,1.000359131E3
1.543039629E2,1.000366211E3
1.544039509E2,1.000358398E3
1.545039389E2,1.000336182E3
1.546039269E2,1.000365479E3
1.547039148E2,1.000340576E3
1.548039028E2,1.000357422E3
1.549038908E2,1.000348633E3
1.550038786E2,1.000327148E3
1.551038665E2,1.000341064E3
1.552038547E2,1.000351562E3
1.553038429E2,1.000342773E3
1.554038311E2,1.000325928E3
1.555038192E2,1.000332275E3
1.556038074E2,1.000322021E3
1.557037956E2,1.000338623E3
1.558037838E2,1.000344727E3
1.559037720E2,1.000361572E3
1.560037599E2,1.000368408E3
1.561037478E2,1.000374756E3
1.562037357E2,1.000363525E3
1.563037237E2,1.000341309E3
1.564037117E2,1.000325928E3
1.565036998E2,1.000336182E3
1.566036877E2,1.000339355E3
1.567036757E2,1.000356445E3
1.568037310E2,1.000353760E3
1.569037189E2,1.000354492E3
1.570037069E2,1.000357910E3
1.571036948E2,1.000349854E3
1.572036826E2,1.000363037E3
1.573036708E2,1.000363770E3
1.574036590E2,1.000387695E3
1.575036472E2,1.000366455E3
1.576036354E2,1.000366455E3
1.577036236E2,1.000361816E3
1.578036119E2,1.000339844E3
1.579036001E2,1.000359375E3
1.580035883E2,1.000345947E3
1.581035765E2,1.000351318E3
1.582035644E2,1.000336182E3
1.583035523E2,1.000338379E3
1.584035405E2,1.000344971E3
1.585035287E2,1.000350098E3
1.586035169E2,1.000348389E3
1.587035051E2,1.000361328E3
1.588034933E2,1.000361084E3
1.589034816E2,1.000358887E3
1.590034698E2,1.000363525E3
1.591034580E2,1.000338867E3
1.592034461E2,1.000364014E3
1.593034342E2,1.000363525E3
1.594034223E2,1.000353760E3
1.595034104E2,1.000353760E3
1.596033987E2,1.000355957E3
1.597033869E2,1.000376221E3
1.598033751E2,1.000374512E3
1.599033633E2,1.000384277E3
1.600033515E2,1.000368896E3
1.601033397E2,1.000382812E3
1.602033279E2,1.000383789E3
1.603033159E2,1.000375244E3
1.604033038E2,1.000359619E3
1.605032918E2,1.000365234E3
1.606032801E2,1.000355957E3
1.607032683E2,1.000353027E3
1.608032565E2,1.000354492E3
1.609032447E2,1.000351562E3
1.610032330E2,1.000355225E3
1.611032212E2,1.000371338E3
1.612032094E2,1.000367188E3
1.613031976E2,1.000375244E3
1.614031855E2,1.000373291E3
1.615031734E2,1.000385254E3
1.616031615E2,1.000364258E3
1.617031497E2,1.000346680E3
1.618031379E2,1.000332764E3
1.619031261E2,1.000357910E3
1.620031143E2,1.000329590E3
1.621031025E2,1.000324219E3
1.622030908E2,1.000319580E3
1.623030790E2,1.000307617E3
1.624030672E2,1.000322754E3
1.625030553E2,1.000329590E3
1.626030434E2,1.000331299E3
1.627030316E2,1.000331299E3
1.628030198E2,1.000336182E3
1.629030080E2,1.000340088E3
1.630029962E2,1.000353027E3
1.631029845E2,1.000343262E3
1.632029727E2,1.000324951E3
1.633029609E2,1.000333252E3
1.634029491E2,1.000323242E3
1.635029371E2,1.000321045E3
1.636029250E2,1.000310059E3
1.637029129E2,1.000305664E3
1.638029011E2,1.000304932E3
1.639028892E2,1.000311279E3
1.640028774E2,1.000310791E3
1.641029647E2,1.000304688E3
1.642029529E2,1.000318848E3
1.643029411E2,1.000322266E3
1.644029293E2,1.000316162E3
1.645029175E2,1.000306641E3
1.646029055E2,1.000307129E3
1.647028933E2,1.000313477E3
1.648028812E2,1.000320068E3
1.649028692E2,1.000325684E3
1.650028572E2,1.000317627E3
1.651028452E2,1.000305664E3
1.652028332E2,1.000299805E3
1.653028212E2,1.000310791E3
