"Time (s)","Illuminance (lx)"
1.672443252E1,1.080000000E2
1.690441052E1,1.130000000E2
1.708438652E1,1.190000000E2
1.726436552E1,1.240000000E2
1.744434552E1,1.280000000E2
1.762432352E1,1.260000000E2
1.780430052E1,1.240000000E2
1.816425552E1,1.210000000E2
1.834423352E1,1.200000000E2
1.852422052E1,1.150000000E2
1.888417552E1,1.170000000E2
1.906408894E1,1.140000000E2
1.924406594E1,1.120000000E2
1.942404394E1,1.140000000E2
1.960402994E1,1.150000000E2
1.978400594E1,1.140000000E2
1.996398494E1,1.130000000E2
2.014396094E1,1.170000000E2
2.032393994E1,1.190000000E2
2.050391594E1,1.180000000E2
2.068389794E1,1.170000000E2
2.086387394E1,1.150000000E2
2.104385294E1,1.120000000E2
2.158378494E1,1.100000000E2
2.176377194E1,1.070000000E2
2.194374794E1,1.080000000E2
2.248368194E1,1.100000000E2
2.266365794E1,1.130000000E2
2.284363994E1,1.150000000E2
2.302361594E1,1.190000000E2
2.320359494E1,1.220000000E2
2.338362901E1,1.200000000E2
2.356360801E1,1.160000000E2
2.374358801E1,1.150000000E2
2.392357301E1,1.160000000E2
2.410354901E1,1.140000000E2
2.428352601E1,1.110000000E2
2.464348101E1,1.100000000E2
2.482346001E1,1.080000000E2
2.500344501E1,1.070000000E2
2.554337801E1,1.060000000E2
2.590333301E1,1.050000000E2
2.608331301E1,9.900000000E1
2.644328194E1,1.080000000E2
2.680323694E1,1.060000000E2
2.698321894E1,1.150000000E2
2.716320094E1,1.220000000E2
2.734317894E1,1.170000000E2
2.752315594E1,1.150000000E2
2.788311094E1,1.100000000E2
2.806308994E1,1.050000000E2
2.824306894E1,1.040000000E2
2.842304694E1,1.050000000E2
2.878300194E1,1.060000000E2
2.914296194E1,1.010000000E2
2.932294394E1,1.060000000E2
2.950291994E1,1.120000000E2
2.968289894E1,1.130000000E2
3.004285394E1,1.150000000E2
3.022283594E1,1.190000000E2
3.040281794E1,1.340000000E2
3.058285074E1,1.320000000E2
3.076282974E1,1.200000000E2
3.094280574E1,1.120000000E2
3.112278474E1,9.800000000E1
3.130276274E1,9.900000000E1
3.148274274E1,9.600000000E1
3.166271874E1,9.800000000E1
