"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.720235201E0,-2.429999924E1,3.720000029E0,2.034000015E1
1.730233867E0,-2.376000023E1,4.019999981E0,2.045999908E1
1.740232633E0,-2.387999916E1,4.199999809E0,2.123999977E1
1.750231399E0,-2.400000000E1,3.959999800E0,2.111999893E1
1.760230165E0,-2.387999916E1,3.899999857E0,2.147999954E1
1.770228931E0,-2.411999893E1,3.720000029E0,2.165999985E1
1.780227697E0,-2.405999947E1,3.839999914E0,2.069999886E1
1.790226497E0,-2.435999870E1,3.480000019E0,2.081999969E1
1.800225297E0,-2.447999954E1,2.879999876E0,2.034000015E1
1.810223997E0,-2.465999985E1,2.639999866E0,2.045999908E1
1.820222763E0,-2.489999962E1,2.339999914E0,2.111999893E1
1.830221529E0,-2.435999870E1,2.039999962E0,2.129999924E1
1.840220229E0,-2.423999977E1,2.039999962E0,2.105999947E1
1.850218995E0,-2.453999901E1,1.620000005E0,2.057999992E1
1.860217761E0,-2.489999962E1,1.679999948E0,2.105999947E1
1.870216461E0,-2.501999855E1,1.919999957E0,2.105999947E1
1.880215261E0,-2.537999916E1,2.159999847E0,2.129999924E1
1.890214027E0,-2.495999908E1,2.279999971E0,2.165999985E1
1.900212793E0,-2.447999954E1,2.039999962E0,2.093999863E1
1.910211559E0,-2.484000015E1,2.039999962E0,2.052000046E1
1.920210325E0,-2.471999931E1,1.740000010E0,2.076000023E1
1.930209091E0,-2.477999878E1,1.860000014E0,2.076000023E1
1.940207824E0,-2.495999908E1,1.860000014E0,2.093999863E1
1.950206490E0,-2.471999931E1,1.740000010E0,2.111999893E1
1.960205223E0,-2.484000015E1,1.740000010E0,2.123999977E1
1.970203956E0,-2.501999855E1,2.099999905E0,2.093999863E1
1.980202622E0,-2.489999962E1,2.159999847E0,2.087999916E1
1.990201355E0,-2.489999962E1,2.099999905E0,2.105999947E1
2.000200088E0,-2.471999931E1,2.220000029E0,2.063999939E1
2.010198821E0,-2.423999977E1,2.039999962E0,2.063999939E1
2.020197554E0,-2.423999977E1,1.860000014E0,2.063999939E1
2.030196320E0,-2.411999893E1,2.039999962E0,2.015999985E1
2.040195086E0,-2.411999893E1,2.279999971E0,2.045999908E1
2.050193852E0,-2.435999870E1,2.279999971E0,2.057999992E1
2.060192552E0,-2.429999924E1,2.220000029E0,2.100000000E1
2.070191318E0,-2.460000038E1,2.339999914E0,2.153999901E1
2.080190084E0,-2.477999878E1,2.039999962E0,2.160000038E1
2.090188750E0,-2.465999985E1,1.860000014E0,2.171999931E1
2.100187483E0,-2.460000038E1,2.399999857E0,2.142000008E1
2.110186249E0,-2.400000000E1,1.860000014E0,2.135999870E1
2.120184949E0,-2.418000031E1,2.279999971E0,2.118000031E1
2.130183715E0,-2.442000008E1,2.220000029E0,2.105999947E1
2.140182481E0,-2.507999992E1,1.799999952E0,2.087999916E1
2.150181247E0,-2.561999893E1,2.220000029E0,2.100000000E1
2.160180013E0,-2.543999863E1,1.919999957E0,2.076000023E1
2.170178779E0,-2.519999886E1,2.339999914E0,2.057999992E1
2.180177512E0,-2.465999985E1,2.579999924E0,2.069999886E1
2.190176278E0,-2.465999985E1,2.700000048E0,2.021999931E1
2.200174978E0,-2.447999954E1,2.519999981E0,2.039999962E1
2.210173744E0,-2.460000038E1,2.159999847E0,2.045999908E1
2.220172510E0,-2.507999992E1,2.039999962E0,2.063999939E1
2.230171210E0,-2.513999939E1,1.740000010E0,2.076000023E1
2.240169976E0,-2.526000023E1,1.919999957E0,2.093999863E1
2.250168742E0,-2.543999863E1,2.099999905E0,2.123999977E1
2.260167508E0,-2.489999962E1,2.279999971E0,2.081999969E1
2.270166308E0,-2.460000038E1,2.399999857E0,2.093999863E1
2.280165108E0,-2.465999985E1,2.159999847E0,2.081999969E1
2.290163908E0,-2.484000015E1,1.919999957E0,2.069999886E1
2.300162741E0,-2.484000015E1,1.740000010E0,2.093999863E1
2.310161574E0,-2.465999985E1,1.860000014E0,2.105999947E1
2.320160474E0,-2.477999878E1,1.860000014E0,2.069999886E1
2.330159340E0,-2.489999962E1,1.860000014E0,2.081999969E1
2.340158140E0,-2.501999855E1,2.159999847E0,2.105999947E1
2.350157006E0,-2.526000023E1,2.099999905E0,2.129999924E1
2.360155872E0,-2.543999863E1,2.460000038E0,2.118000031E1
2.370154672E0,-2.501999855E1,2.700000048E0,2.069999886E1
2.380153538E0,-2.507999992E1,2.639999866E0,2.057999992E1
2.390152404E0,-2.531999969E1,2.700000048E0,1.979999924E1
2.400151270E0,-2.513999939E1,2.579999924E0,2.015999985E1
2.410150136E0,-2.550000000E1,2.759999990E0,2.045999908E1
2.420149002E0,-2.519999886E1,2.399999857E0,2.027999878E1
2.430147868E0,-2.519999886E1,2.460000038E0,2.039999962E1
2.440146734E0,-2.495999908E1,2.099999905E0,2.027999878E1
2.450145534E0,-2.453999901E1,1.979999900E0,2.003999901E1
2.460144400E0,-2.453999901E1,2.159999847E0,2.021999931E1
2.470143266E0,-2.423999977E1,2.399999857E0,2.039999962E1
2.480142066E0,-2.387999916E1,2.579999924E0,2.052000046E1
2.490140932E0,-2.400000000E1,2.639999866E0,2.093999863E1
2.500139798E0,-2.381999969E1,2.759999990E0,2.076000023E1
2.510138664E0,-2.357999992E1,2.759999990E0,2.045999908E1
2.520137530E0,-2.345999908E1,3.059999943E0,2.076000023E1
2.530136396E0,-2.315999985E1,3.059999943E0,2.052000046E1
2.540135262E0,-2.292000008E1,3.299999952E0,2.052000046E1
2.550134128E0,-2.273999977E1,3.240000010E0,2.076000023E1
2.560132928E0,-2.310000038E1,3.359999895E0,2.045999908E1
2.570131761E0,-2.297999954E1,3.539999962E0,2.052000046E1
2.580130594E0,-2.297999954E1,4.380000114E0,2.057999992E1
2.590129360E0,-2.261999893E1,4.799999714E0,2.087999916E1
2.600128160E0,-2.226000023E1,5.219999790E0,2.118000031E1
2.610126893E0,-2.213999939E1,5.819999695E0,2.160000038E1
2.620125559E0,-2.213999939E1,5.579999924E0,2.171999931E1
2.630124292E0,-2.268000031E1,6.000000000E0,2.177999878E1
2.640123025E0,-2.213999939E1,5.879999638E0,2.219999886E1
2.650121758E0,-2.189999962E1,6.000000000E0,2.219999886E1
2.660120524E0,-2.160000038E1,6.119999886E0,2.303999901E1
2.670119290E0,-2.123999977E1,6.359999657E0,2.345999908E1
2.680118056E0,-2.153999901E1,7.019999981E0,2.387999916E1
2.690116822E0,-2.129999924E1,7.859999657E0,2.423999977E1
