"Time (s)","Pressure (hPa)"
1.398008143E2,1.000264648E3
1.399008024E2,1.000279297E3
1.400007906E2,1.000274170E3
1.401007788E2,1.000276855E3
1.402007669E2,1.000270264E3
1.403007551E2,1.000262451E3
1.404007433E2,1.000267090E3
1.405007315E2,1.000268555E3
1.406007196E2,1.000267090E3
1.407007078E2,1.000266602E3
1.408006957E2,1.000267334E3
1.409006835E2,1.000264160E3
1.410006715E2,1.000268799E3
1.411006595E2,1.000272461E3
1.412006475E2,1.000274658E3
1.413006355E2,1.000278076E3
1.414006235E2,1.000274658E3
1.415006115E2,1.000276123E3
1.416005994E2,1.000276367E3
1.417005874E2,1.000279785E3
1.418005753E2,1.000273682E3
1.419005632E2,1.000274902E3
1.420005512E2,1.000270264E3
1.421005394E2,1.000272217E3
1.422005276E2,1.000270020E3
1.423005158E2,1.000281006E3
1.424005040E2,1.000286621E3
1.425004923E2,1.000285156E3
1.426004805E2,1.000282227E3
1.427004686E2,1.000278564E3
1.428004568E2,1.000280762E3
1.429005187E2,1.000280518E3
1.430005066E2,1.000286865E3
1.431004948E2,1.000292480E3
1.432004830E2,1.000297119E3
1.433004712E2,1.000297119E3
1.434004594E2,1.000300537E3
1.435004476E2,1.000292236E3
1.436004359E2,1.000302734E3
1.437004241E2,1.000301270E3
1.438004123E2,1.000303711E3
1.439004005E2,1.000305420E3
1.440003886E2,1.000305908E3
1.441003767E2,1.000298340E3
1.442003649E2,1.000302734E3
1.443003531E2,1.000303711E3
1.444003413E2,1.000311768E3
1.445003295E2,1.000298828E3
1.446003178E2,1.000298828E3
1.447003060E2,1.000302246E3
1.448002942E2,1.000305420E3
1.449002824E2,1.000305176E3
1.450002705E2,1.000303467E3
1.451002584E2,1.000304443E3
1.452002462E2,1.000295898E3
1.453002345E2,1.000295898E3
1.454002227E2,1.000302002E3
1.455002109E2,1.000299072E3
1.456001990E2,1.000292480E3
1.457001872E2,1.000293457E3
1.458001755E2,1.000299561E3
1.459001637E2,1.000297607E3
1.460001518E2,1.000291016E3
1.461001398E2,1.000290283E3
1.462001277E2,1.000296387E3
1.463001156E2,1.000296387E3
1.464001036E2,1.000296875E3
1.465000916E2,1.000303711E3
1.466000796E2,1.000303467E3
1.467000676E2,1.000295166E3
1.468000556E2,1.000285156E3
1.469000436E2,1.000281250E3
1.470000316E2,1.000280762E3
1.471000196E2,1.000287109E3
1.472000074E2,1.000292480E3
1.472999954E2,1.000290039E3
1.473999835E2,1.000299805E3
1.474999717E2,1.000293945E3
1.475999599E2,1.000292480E3
1.476999481E2,1.000298096E3
1.477999364E2,1.000295410E3
1.478999246E2,1.000295654E3
1.479999128E2,1.000289062E3
1.480999010E2,1.000285400E3
1.481998893E2,1.000284912E3
1.482998772E2,1.000289307E3
1.483998651E2,1.000289307E3
1.484998532E2,1.000289551E3
1.485998414E2,1.000290283E3
1.486998296E2,1.000289551E3
1.487998178E2,1.000286133E3
1.488998060E2,1.000293945E3
1.489997943E2,1.000290039E3
1.490997825E2,1.000289062E3
1.491997706E2,1.000287598E3
1.492997588E2,1.000288330E3
1.493997469E2,1.000294189E3
1.494997350E2,1.000289062E3
1.495997233E2,1.000292480E3
1.496997115E2,1.000298828E3
1.497996997E2,1.000297363E3
1.498996879E2,1.000293945E3
1.499996761E2,1.000291992E3
1.500996644E2,1.000291260E3
1.501997301E2,1.000291992E3
1.502997183E2,1.000286621E3
1.503997063E2,1.000292236E3
1.504996941E2,1.000292480E3
1.505996821E2,1.000288818E3
1.506996703E2,1.000294434E3
1.507996585E2,1.000289551E3
1.508996467E2,1.000289307E3
1.509996348E2,1.000284912E3
1.510996230E2,1.000284912E3
1.511996112E2,1.000289307E3
1.512995994E2,1.000290039E3
1.513995875E2,1.000290283E3
1.514995755E2,1.000292480E3
1.515995634E2,1.000290283E3
1.516995513E2,1.000299805E3
1.517995393E2,1.000289551E3
1.518995273E2,1.000290527E3
1.519995153E2,1.000291992E3
1.520995033E2,1.000297363E3
1.521994913E2,1.000281250E3
1.522994793E2,1.000284180E3
1.523994672E2,1.000279541E3
1.524994552E2,1.000281250E3
1.525994431E2,1.000285645E3
1.526994309E2,1.000287842E3
1.527994191E2,1.000294678E3
1.528994073E2,1.000305176E3
1.529993955E2,1.000307617E3
1.530993837E2,1.000301514E3
1.531993719E2,1.000302490E3
1.532993602E2,1.000302734E3
1.533993484E2,1.000302490E3
1.534993366E2,1.000302490E3
1.535993247E2,1.000298584E3
1.536993126E2,1.000298828E3
1.537993005E2,1.000300293E3
1.538992887E2,1.000303467E3
1.539992770E2,1.000298584E3
1.540992652E2,1.000293945E3
1.541992534E2,1.000300049E3
1.542992416E2,1.000294189E3
1.543992298E2,1.000290527E3
1.544992180E2,1.000302734E3
1.545992062E2,1.000298096E3
1.546991944E2,1.000291992E3
1.547991825E2,1.000294922E3
1.548991706E2,1.000290771E3
1.549991588E2,1.000278564E3
1.550991470E2,1.000277588E3
1.551991352E2,1.000274414E3
1.552991234E2,1.000280762E3
1.553991117E2,1.000285400E3
1.554990999E2,1.000285645E3
1.555990881E2,1.000277832E3
1.556990763E2,1.000272217E3
1.557990643E2,1.000276123E3
1.558990521E2,1.000273438E3
1.559990402E2,1.000271729E3
1.560990284E2,1.000270752E3
1.561990166E2,1.000274902E3
1.562990047E2,1.000274414E3
1.563989929E2,1.000279785E3
1.564989811E2,1.000278564E3
1.565989692E2,1.000276123E3
1.566989574E2,1.000280518E3
1.567989456E2,1.000280762E3
1.568989334E2,1.000272705E3
1.569989213E2,1.000267334E3
1.570989093E2,1.000267578E3
1.571988973E2,1.000270020E3
1.572988853E2,1.000266357E3
1.573988733E2,1.000263672E3
1.574989761E2,1.000265137E3
1.575989641E2,1.000270996E3
1.576989521E2,1.000275391E3
1.577989401E2,1.000272705E3
1.578989281E2,1.000270508E3
1.579989159E2,1.000271240E3
1.580989038E2,1.000272949E3
1.581988921E2,1.000267334E3
1.582988803E2,1.000276123E3
1.583988685E2,1.000268799E3
1.584988567E2,1.000278320E3
1.585988449E2,1.000277100E3
1.586988332E2,1.000277100E3
1.587988214E2,1.000272949E3
1.588988096E2,1.000268799E3
1.589987976E2,1.000263672E3
1.590987855E2,1.000260742E3
1.591987734E2,1.000270508E3
1.592987617E2,1.000277344E3
1.593987499E2,1.000274658E3
1.594987381E2,1.000281006E3
1.595987263E2,1.000276855E3
1.596987145E2,1.000275391E3
1.597987028E2,1.000275879E3
1.598986910E2,1.000278809E3
1.599986792E2,1.000273438E3
1.600986673E2,1.000276855E3
1.601986554E2,1.000270996E3
1.602986435E2,1.000269531E3
1.603986317E2,1.000268799E3
1.604986199E2,1.000268555E3
1.605986081E2,1.000263184E3
1.606985964E2,1.000268066E3
1.607985846E2,1.000267822E3
1.608985728E2,1.000272461E3
1.609985610E2,1.000274658E3
1.610985492E2,1.000271240E3
1.611985371E2,1.000266113E3
1.612985249E2,1.000268311E3
1.613985131E2,1.000262939E3
1.614985013E2,1.000265869E3
1.615984894E2,1.000256348E3
1.616984776E2,1.000257080E3
1.617984658E2,1.000255615E3
1.618984540E2,1.000254883E3
1.619984421E2,1.000255127E3
1.620984303E2,1.000256592E3
1.621984184E2,1.000258789E3
1.622984063E2,1.000263184E3
1.623983942E2,1.000261963E3
1.624983822E2,1.000257812E3
1.625983702E2,1.000265137E3
1.626983581E2,1.000269775E3
1.627983461E2,1.000262939E3
1.628983341E2,1.000259521E3
1.629983221E2,1.000268799E3
1.630983101E2,1.000270752E3
1.631982980E2,1.000273926E3
1.632982860E2,1.000273926E3
1.633982739E2,1.000271240E3
1.634982619E2,1.000274902E3
1.635982501E2,1.000274658E3
1.636982382E2,1.000272705E3
1.637982264E2,1.000272705E3
1.638982146E2,1.000279541E3
1.639982028E2,1.000283936E3
1.640981910E2,1.000277344E3
1.641981791E2,1.000267822E3
1.642981673E2,1.000272949E3
1.643981552E2,1.000272461E3
1.644981431E2,1.000269775E3
1.645981311E2,1.000268311E3
1.646981935E2,1.000278809E3
1.647981815E2,1.000278076E3
1.648981695E2,1.000284912E3
1.649981574E2,1.000283447E3
1.650981454E2,1.000282471E3
1.651981334E2,1.000283447E3
1.652981214E2,1.000281982E3
1.653981094E2,1.000288330E3
1.654980972E2,1.000291504E3
1.655980851E2,1.000302490E3
1.656980733E2,1.000298584E3
1.657980615E2,1.000292480E3
1.658980497E2,1.000291260E3
1.659980379E2,1.000292969E3
1.660980261E2,1.000298096E3
1.661980143E2,1.000290771E3
1.662980025E2,1.000292969E3
1.663979907E2,1.000294434E3
1.664979788E2,1.000292969E3
1.665979667E2,1.000293213E3
1.666979546E2,1.000285645E3
1.667979429E2,1.000290039E3
1.668979311E2,1.000281738E3
1.669979193E2,1.000285156E3
1.670979075E2,1.000280273E3
1.671978957E2,1.000272949E3
1.672978839E2,1.000264404E3
1.673978721E2,1.000263672E3
1.674978603E2,1.000257812E3
1.675978484E2,1.000263916E3
1.676978365E2,1.000270264E3
1.677978246E2,1.000262939E3
1.678978128E2,1.000268799E3
1.679978011E2,1.000272949E3
1.680977893E2,1.000274658E3
1.681977775E2,1.000275391E3
1.682977657E2,1.000273438E3
1.683977539E2,1.000271729E3
1.684977421E2,1.000273193E3
1.685977303E2,1.000266113E3
1.686977183E2,1.000266357E3
1.687977061E2,1.000272705E3
1.688976942E2,1.000267822E3
1.689976825E2,1.000267822E3
1.690976707E2,1.000259277E3
1.691976589E2,1.000253418E3
1.692976471E2,1.000254395E3
1.693976353E2,1.000248291E3
1.694976235E2,1.000242432E3
1.695976117E2,1.000239014E3
1.696976000E2,1.000248535E3
1.697975879E2,1.000247314E3
1.698975758E2,1.000250732E3
1.699975640E2,1.000244629E3
1.700975522E2,1.000244141E3
1.701975404E2,1.000238281E3
1.702975286E2,1.000252441E3
1.703975168E2,1.000257324E3
1.704975050E2,1.000244629E3
1.705974932E2,1.000244873E3
1.706974814E2,1.000238770E3
1.707974696E2,1.000243896E3
1.708974577E2,1.000247559E3
1.709974458E2,1.000257080E3
1.710974341E2,1.000258789E3
1.711974223E2,1.000266602E3
1.712974105E2,1.000258057E3
1.713973987E2,1.000258301E3
1.714973869E2,1.000262451E3
1.715973752E2,1.000262695E3
1.716973634E2,1.000254150E3
1.717973516E2,1.000260498E3
1.718973396E2,1.000251709E3
1.719973854E2,1.000260742E3
1.720973734E2,1.000262939E3
1.721973616E2,1.000265137E3
1.722973498E2,1.000277832E3
1.723973379E2,1.000274414E3
1.724973261E2,1.000272461E3
1.725973144E2,1.000271973E3
1.726973025E2,1.000276123E3
1.727972906E2,1.000281982E3
1.728972788E2,1.000280273E3
1.729972668E2,1.000290039E3
1.730972547E2,1.000287354E3
1.731972426E2,1.000279785E3
1.732972306E2,1.000284424E3
1.733972186E2,1.000285156E3
1.734972066E2,1.000277344E3
1.735971946E2,1.000287598E3
1.736971826E2,1.000294922E3
1.737971706E2,1.000288330E3
1.738971586E2,1.000293945E3
1.739971466E2,1.000286133E3
1.740971345E2,1.000286133E3
1.741971224E2,1.000288574E3
1.742971105E2,1.000283936E3
1.743970987E2,1.000292969E3
1.744970869E2,1.000289795E3
1.745970751E2,1.000291260E3
1.746970634E2,1.000285400E3
1.747970516E2,1.000282471E3
1.748970398E2,1.000282959E3
1.749970280E2,1.000287109E3
1.750970162E2,1.000287598E3
1.751970041E2,1.000290283E3
1.752969920E2,1.000295654E3
1.753969802E2,1.000294678E3
1.754969685E2,1.000290039E3
1.755969567E2,1.000285400E3
1.756969449E2,1.000290527E3
1.757969331E2,1.000286377E3
1.758969213E2,1.000289307E3
1.759969095E2,1.000287109E3
1.760968977E2,1.000284668E3
1.761968859E2,1.000291992E3
1.762968740E2,1.000289795E3
1.763968621E2,1.000289551E3
1.764968504E2,1.000290527E3
1.765968386E2,1.000285156E3
1.766968268E2,1.000279053E3
1.767968150E2,1.000286133E3
1.768968032E2,1.000282227E3
1.769967915E2,1.000289307E3
1.770967797E2,1.000285645E3
1.771967679E2,1.000282227E3
1.772967558E2,1.000280029E3
1.773967437E2,1.000286133E3
1.774967318E2,1.000280029E3
1.775967200E2,1.000275879E3
1.776967082E2,1.000276367E3
1.777966963E2,1.000274414E3
1.778966845E2,1.000276855E3
1.779966727E2,1.000275146E3
1.780966609E2,1.000283691E3
1.781966490E2,1.000284912E3
1.782966372E2,1.000295898E3
1.783966251E2,1.000295410E3
1.784966129E2,1.000300049E3
1.785966009E2,1.000301270E3
1.786965889E2,1.000294678E3
1.787965769E2,1.000301270E3
1.788965649E2,1.000303955E3
1.789965529E2,1.000299316E3
1.790965409E2,1.000296631E3
1.791965288E2,1.000298828E3
1.792965654E2,1.000298828E3
1.793965534E2,1.000304199E3
1.794965412E2,1.000299561E3
