"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.023008190E2,1.517970204E0,1.046298122E1,2.490045786E0
2.024008808E2,1.831620216E0,9.826104164E0,1.625712633E0
2.025009471E2,1.110943556E0,9.203592300E0,1.963305354E0
2.026010184E2,1.939362586E-1,9.938634872E0,2.219492674E0
2.027010830E2,1.661626697E0,9.658504486E0,1.740637779E0
2.028011470E2,5.818088055E-1,9.167677879E0,1.383890867E0
2.029012223E2,8.906702399E-1,9.507665634E0,1.695146561E0
2.030012836E2,1.441353440E0,9.960183144E0,2.669616461E0
2.031013497E2,1.570644259E0,9.385557175E0,2.260195494E0
2.032014207E2,2.418217659E0,9.993702888E0,2.063864946E0
2.033014847E2,1.778946161E0,9.601041794E0,1.577827096E0
2.034015575E2,1.551490068E0,9.158101082E0,1.695146561E0
2.035016247E2,1.915419817E0,9.534002304E0,1.280937076E0
2.036016850E2,2.509200096E0,9.579493523E0,1.776551962E0
2.037017483E2,2.150058746E0,8.976136208E0,2.284138203E0
2.038018192E2,1.450930476E0,1.019003391E1,2.166818619E0
2.039018977E2,1.486844659E0,1.043664360E1,2.116539001E0
2.040019626E2,5.818088055E-1,8.990502357E0,1.800494671E0
2.041020263E2,4.094209969E-1,9.634561539E0,1.635289669E0
2.042020907E2,5.363175869E-1,1.064973450E1,1.376708031E0
2.043021548E2,5.554717779E-1,9.067118645E0,1.307274103E0
2.044022271E2,1.261782765E0,9.507665634E0,2.784541607E0
2.045022936E2,2.375120640E0,1.052523232E1,2.114144564E0
2.046023623E2,1.910631299E0,8.260248184E0,2.116539001E0
2.047024152E2,2.408640385E0,9.620196342E0,2.174001455E0
2.048025015E2,2.370332003E0,9.921875000E0,8.260248303E-1
2.049025623E2,8.978530765E-1,8.961771011E0,1.517970204E0
2.050026307E2,3.799714088E0,1.048213482E1,1.953728199E0
2.051026933E2,2.078230619E0,8.454184532E0,1.668809533E0
2.052027637E2,1.726272106E0,9.572310448E0,2.396669149E0
2.053028259E2,1.424593568E0,1.013017654E1,1.130097747E0
2.054028990E2,1.149251938E0,9.387951851E0,1.395862222E0
2.055029665E2,7.254652381E-1,1.023791885E1,8.356019258E-1
2.056030281E2,1.177983165E0,9.902720451E0,1.084606528E0
2.057030866E2,1.426987767E0,9.134158134E0,1.285725594E0
2.058031639E2,7.422251701E-1,1.066170597E1,1.735849261E0
2.059032363E2,1.647261024E0,8.664880753E0,2.590605259E0
2.060032985E2,1.723877907E0,9.869200706E0,2.245829821E0
2.061033672E2,2.061470509E0,1.023552513E1,1.814860344E0
2.062034368E2,2.791724443E0,9.431048393E0,5.435003638E-1
2.063034974E2,2.121327400E0,9.059935570E0,2.015979290E0
2.064035709E2,2.324840784E0,1.097056675E1,2.628913641E0
2.065036368E2,1.879505754E0,8.092648506E0,1.101366401E0
2.066037044E2,1.927391171E0,8.703188896E0,2.123721838E0
2.067037636E2,1.771763325E0,1.188039207E1,2.523565531E0
2.068038382E2,9.529213905E-1,7.676044941E0,1.927391171E0
2.069039114E2,8.020820618E-1,1.247177792E1,3.759011328E-1
2.070039740E2,7.470137477E-1,5.260221958E0,2.791724443E0
2.071040416E2,4.405465722E-1,1.200249958E1,2.205127001E0
2.072041046E2,4.764606953E-1,8.152505875E0,-2.681587934E-1
2.073041738E2,1.637683988E0,6.912271500E0,2.796513081E0
2.074042485E2,9.936240315E-1,1.437762070E1,2.947352171E0
2.075043083E2,2.712713242E0,8.423058510E0,1.019961119E0
2.076043710E2,1.235445857E0,8.004060745E0,2.691164970E0
2.077045117E2,3.660846233E0,1.087958431E1,1.182771802E0
2.078045892E2,1.570644259E0,8.988107681E0,1.628106833E-1
2.079046526E2,2.080624819E0,8.854028702E0,5.985686779E-1
2.080047235E2,1.956122518E0,1.069522572E1,2.478074312E0
2.081047930E2,1.470084786E0,9.586676598E0,1.072635174E0
2.082048576E2,1.285725594E0,7.958569527E0,-3.806896806E-1
2.083049284E2,9.792584181E-1,1.342469883E1,-8.739103079E-1
2.084049895E2,1.551490068E0,5.609786034E0,2.049499273E0
2.085050569E2,2.633702382E-2,1.290035248E1,6.943396926E-1
2.086051281E2,1.163617611E0,8.686429024E0,1.417410731E0
2.087051879E2,1.084606528E0,8.372778893E0,1.309668303E0
2.088052588E2,1.553884387E0,1.181574631E1,1.743032098E0
2.089053285E2,2.123721838E0,6.572284222E0,1.915419817E0
2.090053970E2,2.832427025E0,1.341991043E1,2.451737404E0
2.091054603E2,2.475680113E0,1.000327969E1,3.131711483E0
2.092055276E2,2.006402254E0,5.578660488E0,1.826831698E0
2.093055935E2,4.436591148E0,1.161941528E1,-1.000806928E0
2.094056607E2,1.467690468E0,1.092986488E1,9.744698405E-1
2.095057297E2,1.532335877E0,8.051946640E0,3.955342054E0
2.096058070E2,1.891477108E0,1.109506989E1,1.316851139E0
2.097058545E2,7.781392932E-1,8.403904915E0,1.628106833E0
2.098059321E2,6.392713785E-1,1.073592854E1,9.840469360E-1
2.099059966E2,9.960182905E-1,8.674457550E0,1.192348838E0
2.100060630E2,4.022381604E-1,9.227535248E0,1.532335877E0
2.101061318E2,1.043903828E0,1.178222656E1,9.624984860E-1
2.102061964E2,1.505998850E0,6.419050694E0,4.257020473E0
2.103062632E2,2.092596292E0,1.136562252E1,1.611346960E0
2.104063431E2,2.628913641E0,9.490905762E0,1.201925993E0
2.105064049E2,2.176395893E0,8.308133125E0,1.752609134E0
2.106064685E2,2.214704275E0,1.030735302E1,8.499675393E-1
2.107065380E2,1.386285067E0,9.526819229E0,1.324033976E0
2.108066114E2,2.516382933E0,9.636956215E0,2.245829821E0
2.109066666E2,1.592192769E0,9.009655952E0,2.174001455E0
2.110067350E2,1.975276709E0,1.012299347E1,2.071047783E0
2.111068009E2,1.453324795E0,9.366402626E0,1.197137356E0
2.112068692E2,6.488484740E-1,9.720755577E0,2.171607256E0
2.113069353E2,7.661679387E-1,9.117398262E0,1.235445857E0
2.114070056E2,8.547561169E-1,1.064015770E1,7.278595567E-1
2.115070724E2,7.972934842E-1,8.351230621E0,1.223474383E0
2.116071388E2,7.230709791E-1,1.028341007E1,3.009603500E0
2.117071976E2,2.135693073E0,9.160495758E0,1.972882390E0
2.118072832E2,1.884294271E0,9.304151535E0,2.478074312E0
2.119073410E2,1.805283189E0,1.001046276E1,1.280937076E0
2.120074050E2,2.090201855E0,8.775016785E0,1.561067224E0
2.121074908E2,2.133298874E0,1.009186840E1,2.322446585E0
2.122075468E2,2.044710636E0,9.878777504E0,1.383890867E0
2.123076120E2,1.740637779E0,7.680833817E0,2.183578730E0
2.124076735E2,2.509200096E0,1.090113354E1,3.277762175E0
2.125077466E2,1.290514112E0,9.091061592E0,-1.292908341E-1
2.126078259E2,7.709565163E-1,7.096630573E0,2.106961727E0
2.127078741E2,8.044763207E-1,1.557236290E1,1.723877788E-1
2.128079526E2,1.237840056E0,5.854001999E0,9.984126091E-1
2.129080092E2,9.002473354E-1,9.270631790E0,2.427794695E0
2.130080861E2,1.898659945E0,1.260346222E1,2.633702382E-2
2.131081505E2,9.217957854E-1,5.662459850E0,2.327235222E0
2.132082144E2,1.556278586E0,1.180616951E1,4.118152559E-1
2.133082775E2,2.990449190E0,1.063057995E1,-7.134938836E-1
2.134083515E2,1.731060743E0,7.762238979E0,2.667222023E0
2.135084216E2,2.530748367E0,9.217958450E0,1.539518714E0
2.136084858E2,2.430188894E0,1.009426212E1,8.475732803E-1
2.137085384E2,1.855562925E0,9.167677879E0,1.733454943E0
2.138086130E2,1.563461423E0,1.009426212E1,2.806090117E0
2.139086892E2,1.405439258E0,1.003201103E1,9.648927450E-1
2.140087601E2,4.070267081E-2,7.412674904E0,1.661626697E0
2.141088238E2,2.825244367E-1,1.481337833E1,-5.554717779E-1
2.142088930E2,9.002473354E-1,6.205960274E0,4.333637357E-1
2.143089481E2,1.429382086E0,1.019721603E1,3.696760416E0
2.144090158E2,2.830032825E0,1.180138016E1,-4.597007632E-1
2.145090833E2,1.628106833E0,5.315289974E0,4.958543301E0
2.146091536E2,3.356773376E0,1.099690437E1,-3.835628271E0
2.147092158E2,1.743032098E0,9.462174416E0,-2.130904645E-1
2.148092847E2,2.437371731E0,1.208629894E1,4.170826912E0
2.149093555E2,2.552296877E0,6.217931747E0,4.120546818E0
2.150094159E2,1.637683988E0,1.076944828E1,7.494080067E-1
2.151094831E2,4.261809289E-1,9.864412308E0,-6.919454336E-1
2.152095552E2,5.746259689E-1,1.054678059E1,1.757397652E0
2.153096170E2,5.482889414E-1,7.211555958E0,-1.110943556E0
2.154096838E2,1.297696948E0,9.962577820E0,1.345582485E0
2.155097509E2,2.013585091E0,9.203592300E0,-9.577099234E-2
2.156098172E2,1.213897347E0,2.067216873E1,8.602629662E0
2.157098894E2,2.849187136E0,2.339206457E0,6.967339516E-1
2.158099511E2,5.961744189E-1,6.131737709E0,-3.229876757E0
2.159100186E2,2.564268351E0,1.290514088E1,3.330436230E0
2.160100863E2,2.099778891E0,1.110464668E1,-1.673598051E0
2.161101593E2,3.232271075E-1,9.138946533E0,3.213116884E0
2.162102263E2,8.715160489E-1,6.007235527E0,3.926610649E-1
2.163102883E2,-9.960182905E-1,6.016812801E0,-1.747820616E0
2.164103545E2,1.723877907E0,1.132731438E1,6.512427330E-1
2.165104250E2,2.940169573E0,1.069283104E1,3.823656797E0
2.166104914E2,1.371919513E0,9.110215187E0,2.968900800E-1
2.167105488E2,1.721483588E0,8.028003693E0,4.036747456E0
2.168106238E2,3.699154615E0,9.129369736E0,1.675992459E-2
2.169106934E2,1.328822494E0,8.473338127E0,5.250644684E0
2.170107617E2,3.718308687E0,1.113337803E1,1.932179809E0
2.171108277E2,-2.897072434E-1,5.961744308E0,3.998439014E-1
2.172108968E2,-2.458920240E0,1.326667690E1,-2.806090117E0
2.173109585E2,2.296109438E0,9.083878517E0,4.415042877E0
2.174110270E2,5.075862408E-1,5.042342663E0,3.430995703E0
2.175110940E2,2.549902678E0,1.436325455E1,-7.589851022E-1
2.176111705E2,2.798907280E0,6.067092419E0,6.847625971E-1
2.177112196E2,3.423812866E0,1.062579155E1,1.675992370E0
2.178112959E2,1.041509509E0,5.911464691E0,3.026363373E0
2.179113609E2,2.906649590E0,1.057790565E1,1.762186289E0
2.180114345E2,7.877163887E-1,1.095380688E1,-1.077423692E-1
2.181114964E2,8.140534163E-2,1.045340347E1,2.030344963E0
2.182115701E2,9.433442950E-1,6.909877300E0,-1.180377483E0
