"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.844336698E1,5.524176359E-2,-1.367806643E-1,-1.137339473E-1
1.854344052E1,6.990253180E-2,-2.216909379E-1,-3.493232653E-2
1.864350354E1,2.164417692E-2,-2.546776533E-1,1.385534108E-1
1.874356985E1,1.151065603E-1,-3.084338009E-1,1.037340835E-1
1.884363597E1,1.835234612E-1,-3.365336061E-1,2.187814005E-2
1.894370395E1,-1.469546407E-1,5.442015082E-2,1.128970534E-1
1.904376950E1,-1.048049331E-1,3.181813657E-2,1.739835888E-1
1.914383748E1,-1.713892370E-1,1.827018559E-1,1.929204166E-1
1.924390369E1,-4.249667376E-2,9.826988913E-3,2.967674732E-1
1.934397621E1,9.006109089E-2,-7.202894986E-2,2.485091388E-1
1.944404815E1,5.096571147E-2,4.159198329E-2,1.367208064E-1
1.954410490E1,-3.277707398E-1,1.252805144E-1,3.165198490E-2
1.964417448E1,-2.544669211E-1,3.914852068E-2,8.601898700E-2
1.974423999E1,-7.059647143E-2,-2.377059869E-2,3.348457813E-2
1.984430821E1,8.028724045E-2,-1.086808667E-1,-1.369468272E-1
1.994438339E1,-8.220291138E-2,-1.331154853E-1,-7.463857532E-2
2.004444264E1,-2.129280716E-1,1.349218097E-2,-1.766530573E-1
2.014451086E1,-3.394456208E-2,-9.720697999E-3,-2.304092050E-1
2.024458170E1,7.356772572E-2,9.840244800E-2,-3.745734096E-1
2.034464992E1,2.293383628E-1,-2.926838771E-2,-2.224679589E-1
2.044470930E1,4.974398017E-2,-1.551066339E-1,-1.125122160E-1
2.054477598E1,2.531621158E-1,-2.827774584E-1,1.971964538E-1
2.064484007E1,-7.853771746E-2,-8.241366595E-2,5.486486107E-2
2.074490782E1,-1.439687237E-2,1.704845428E-1,8.296465874E-2
2.084498633E1,-5.837916955E-2,1.478825361E-1,9.762542695E-2
2.094504575E1,-2.031542361E-1,3.134270012E-1,4.448015243E-2
2.104511107E1,9.372626990E-2,7.396784425E-2,4.336013198E-1
2.114517883E1,-9.197676182E-2,-3.609682024E-1,3.780125678E-1
2.124524624E1,1.719170213E-1,-7.543654442E-1,1.342773438E-1
2.134531972E1,-1.506198347E-1,-5.674406886E-1,-1.945605734E-3
2.144538100E1,-2.526343167E-1,-4.587066770E-1,-1.033492386E-1
2.154544745E1,1.041109860E-1,-2.620080709E-1,-2.884414196E-1
2.164551200E1,-1.781087667E-1,1.387195587E-1,-6.669732183E-2
2.174558201E1,-1.939912587E-1,-6.775289774E-2,-1.130100718E-4
2.184565443E1,-6.754214317E-2,-7.813760638E-2,-1.479423940E-1
2.194572124E1,2.707354724E-3,7.763303071E-2,-1.839834452E-1
2.204578592E1,-7.975945622E-2,1.533803195E-1,-3.371059895E-2
2.214585831E1,-1.891043335E-1,2.841055095E-1,5.730832368E-2
2.224591972E1,-1.012081560E-2,3.415268362E-1,1.916986704E-1
2.234598464E1,1.108305082E-1,1.588781178E-1,-6.181039661E-2
2.244605699E1,-2.722504176E-2,3.048748970E-1,-1.088470221E-1
2.254612656E1,-5.715744197E-2,4.191066921E-1,1.929204166E-1
2.264618848E1,-7.303993404E-2,2.370688617E-1,2.088029087E-1
2.274625173E1,1.615323126E-1,3.107471392E-3,4.264755547E-2
2.284632001E1,9.128281474E-2,8.190909028E-2,-2.576934919E-2
2.294638879E1,-3.883148357E-2,1.900322437E-1,-2.576934919E-2
2.304645378E1,7.234599441E-2,1.043785457E-2,7.807774097E-2
2.314652419E1,5.218743905E-2,-1.166221127E-1,5.119966716E-2
2.324658827E1,-7.066489197E-3,-9.524183720E-2,-1.112904847E-1
2.334666176E1,7.845464349E-2,2.693121508E-2,1.104535982E-1
2.344674411E1,1.041109860E-1,-9.720697999E-3,-7.158424705E-2
2.354680326E1,1.413737684E-1,7.885476202E-2,8.174293488E-2
2.364686344E1,-9.380935878E-2,-6.286597252E-2,1.159513891E-1
2.374692093E1,-1.806206256E-2,-1.361698061E-1,6.891476363E-2
2.384699901E1,-3.516628966E-2,-1.606044173E-1,-9.275988676E-3
2.394706470E1,-9.136588871E-2,-1.636587381E-1,7.563427836E-2
2.404712434E1,-1.158005074E-1,-2.021432519E-1,-1.233031508E-2
2.414719186E1,1.120522320E-1,-3.110098280E-2,-1.049771905E-2
2.424726044E1,2.286590822E-2,4.708976671E-2,-8.257982135E-2
