"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
6.445005535E1,5.238643579E1,5.209528956E0,6.120436309E0,2.694779873E0,2.502789459E2,4.000000000E0,0.000000000E0
6.545469916E1,5.238642751E1,5.209490633E0,6.130616561E0,2.702269554E0,2.530047455E2,4.000000000E0,0.000000000E0
6.643422200E1,5.238642073E1,5.209450941E0,6.140622602E0,2.708202600E0,2.535878143E2,4.000000000E0,0.000000000E0
6.744114254E1,5.238641452E1,5.209414022E0,6.149685377E0,2.710015297E0,2.553544312E2,4.000000000E0,0.000000000E0
6.847158243E1,5.238640871E1,5.209376640E0,6.157835417E0,2.714233398E0,2.542817078E2,4.000000000E0,0.000000000E0
6.945150762E1,5.238640213E1,5.209333878E0,6.165530200E0,2.721751690E0,2.529963226E2,4.000000000E0,0.000000000E0
7.046689708E1,5.238639160E1,5.209279308E0,6.172407056E0,2.738756418E0,2.529123993E2,4.000000000E0,0.000000000E0
7.145726162E1,5.238638483E1,5.209240386E0,6.178459010E0,2.756464720E0,2.531548920E2,4.000000000E0,0.000000000E0
7.243441981E1,5.238637695E1,5.209197235E0,6.183836573E0,2.757728577E0,2.532235565E2,4.000000000E0,0.000000000E0
7.344852388E1,5.238637262E1,5.209166573E0,6.189440226E0,2.736029625E0,2.534316864E2,4.000000000E0,0.000000000E0
7.443542146E1,5.238636882E1,5.209139316E0,6.195049668E0,2.709485531E0,2.550476532E2,4.000000000E0,0.000000000E0
7.545596827E1,5.238636356E1,5.209104561E0,6.200523807E0,2.673030853E0,2.554162292E2,4.000000000E0,0.000000000E0
7.648178765E1,5.238635872E1,5.209071687E0,6.205789928E0,2.634187222E0,2.533951874E2,4.000000000E0,0.000000000E0
7.744710873E1,5.238635335E1,5.209040977E0,6.211564662E0,2.604435205E0,2.545703888E2,4.000000000E0,0.000000000E0
7.845382061E1,5.238634895E1,5.209010020E0,6.217359697E0,2.584534168E0,2.553883667E2,4.000000000E0,0.000000000E0
7.944567753E1,5.238634491E1,5.208978463E0,6.222884135E0,2.569715261E0,2.541142883E2,4.000000000E0,0.000000000E0
8.047987203E1,5.238633886E1,5.208942027E0,6.227443350E0,2.555940866E0,2.542916565E2,4.000000000E0,0.000000000E0
8.147314534E1,5.238633205E1,5.208903920E0,6.232316000E0,2.554811001E0,2.539903717E2,4.000000000E0,0.000000000E0
8.244854599E1,5.238632843E1,5.208874175E0,6.235149247E0,2.557803869E0,2.537983856E2,4.000000000E0,0.000000000E0
8.349704588E1,5.238632205E1,5.208838534E0,6.237322443E0,2.551525593E0,2.440142517E2,4.000000000E0,0.000000000E0
