"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.455584278E1,9.411893845E0,-1.003201127E0,-5.154873848E0
7.465590423E1,-1.960911036E0,1.554363251E1,1.326667690E1
7.475597018E1,-1.829225898E0,9.150918007E0,4.728692532E0
7.485604152E1,-3.409447432E0,1.886688590E0,1.616135478E0
7.495610770E1,-6.833260536E0,6.035966873E0,-1.889082789E0
7.505618085E1,9.103033066E0,1.509590244E1,1.097774982E1
7.515624040E1,-5.794144869E-1,8.308133483E-1,6.385530949E0
7.525631594E1,8.150111198E0,-3.529160976E0,4.956148624E0
7.535637932E1,5.408666611E0,6.974522591E0,1.231375504E1
7.545645314E1,-2.080624819E0,1.210784817E1,1.614220047E1
7.555650965E1,-3.909850836E0,3.806896925E0,-2.035133541E-1
7.565656737E1,-4.597007751E0,3.035940409E0,-1.158828974E0
7.575663932E1,-1.059466648E1,2.064822578E1,2.797949600E1
7.585670833E1,-2.513988495E0,6.960156918E0,4.819674969E0
7.595677611E1,5.549929142E0,-5.071074009E0,7.958569527E0
7.605684369E1,5.549929142E0,2.006402254E0,1.489238977E0
7.615692144E1,1.297696948E0,1.701371765E1,2.134735489E1
7.625697949E1,-2.004008055E0,7.795758724E0,1.757397652E0
7.635704487E1,-5.018400192E0,1.290514112E0,7.278595567E-1
7.645712175E1,-9.146129608E0,9.871595383E0,9.148524284E0
7.655718676E1,6.572284222E0,1.324033928E1,7.005648136E0
7.665724782E1,3.790137053E0,8.619388938E-2,4.783761024E0
7.675731893E1,9.198803902E0,-3.397475958E0,1.144463301E0
7.685737898E1,3.478881359E0,1.215333939E1,8.425453186E0
7.695744933E1,-4.077449799E0,9.375980377E0,9.385557175E0
7.705751411E1,-5.741470814E0,2.494834423E0,-1.843591630E-1
7.715758659E1,-5.164450645E0,4.910657406E0,1.233051538E0
7.725777152E1,5.937801600E-1,1.490914917E1,1.644388008E1
7.735784326E1,5.171633363E-1,4.216318130E0,2.849187136E0
7.745790611E1,6.263422966E0,-4.896292210E0,1.154519272E1
7.755797252E1,6.543552876E0,5.111776829E0,1.151646137E1
7.765804080E1,-3.395081758E0,1.144702816E1,2.057879257E1
7.775811358E1,-5.061496735E0,4.994457245E0,1.383890867E0
7.785817532E1,-3.390293121E0,3.368744612E0,-3.914639235E0
7.795824210E1,-1.236403465E1,1.820845985E1,1.720046997E1
7.805831002E1,9.337671995E-1,7.795758724E0,5.727105141E0
7.815838310E1,4.211529255E0,-8.858816624E-1,9.177255630E0
7.825844958E1,9.780612946E0,1.051086664E0,-7.518022656E-1
7.835850969E1,-1.103760719E0,1.350849819E1,2.006162834E1
7.845857707E1,4.716721475E-1,8.358413696E0,2.561874151E0
7.855864442E1,-3.033546209E0,3.794925690E0,5.698373914E-1
7.865870617E1,-4.697566986E0,9.785401344E0,8.523618698E0
7.875877572E1,3.000026226E0,1.169842625E1,1.411185551E1
7.885884743E1,2.327235222E0,1.336005330E0,4.063084126E0
7.895891242E1,8.777411461E0,-4.197163582E0,5.138113976E0
7.905898000E1,5.925830364E0,5.561900616E0,1.332892799E1
7.915904901E1,-1.046298146E0,1.172955227E1,1.703526497E1
7.925911392E1,-5.025582790E0,4.199557781E0,1.551490068E0
7.935918070E1,-5.279376030E0,4.465322495E0,4.285751820E0
7.945925832E1,-6.105400920E-1,1.717413330E1,2.726121330E1
7.955931523E1,4.333637357E-1,6.277788639E0,5.178816319E0
7.965939184E1,9.273026466E0,-5.042342663E0,6.141314983E0
7.975944729E1,5.411061287E0,2.197944164E0,6.038361073E0
7.985951780E1,-3.493247032E0,1.614459419E1,1.927630615E1
7.995958412E1,-2.439765930E0,6.028783798E0,9.696813226E-1
8.005965076E1,-3.430995703E0,1.611346960E0,9.624984860E-1
8.015971761E1,-1.162659836E1,1.392749691E1,1.494506359E1
8.025978459E1,4.285751820E0,1.132013130E1,5.142902374E0
8.035985137E1,3.136499882E0,7.661679387E-2,7.225921154E0
8.045992558E1,9.158101082E0,-1.189954638E0,4.039141655E0
8.055998719E1,-2.545114040E0,1.194024849E1,8.267431259E0
8.066004894E1,-1.089395046E0,8.806142807E0,1.144702816E1
8.076012472E1,-4.711932659E0,2.403851986E0,1.340793848E0
8.086018864E1,-6.694392204E0,6.086246490E0,-1.755003452E0
8.096025422E1,1.326428294E0,1.598417854E1,1.937447166E1
8.106032380E1,-1.515576005E0,3.816473961E0,5.387118340E0
8.116038918E1,9.672870636E0,-3.622537851E0,6.929031372E0
8.126045506E1,5.164450645E0,4.891503334E0,1.153801060E1
8.136052751E1,-5.842030525E0,1.116450310E1,2.609998894E1
8.146059576E1,-4.237866402E0,3.960130453E0,-1.666415215E0
8.156065634E1,-5.310501575E0,2.128510237E0,-3.761405706E0
8.166072912E1,-7.149304390E0,2.035372925E1,2.869059563E1
8.176078814E1,-1.199531674E0,6.385530949E0,1.656838179E0
8.186085986E1,9.069513321E0,-2.736656189E0,6.773403645E0
8.196093420E1,7.750267506E0,2.650462151E0,-3.004814863E0
8.206099882E1,-2.063864946E0,1.620205688E1,3.136021233E1
8.216106033E1,-2.765387297E0,4.446168423E0,2.540325642E0
8.226112851E1,-4.834040642E0,9.433442950E-1,-9.960182905E-1
8.236119617E1,-1.203362560E1,1.061382008E1,6.007235527E0
8.246126661E1,2.628913641E0,1.297218132E1,8.992896080E0
8.256133483E1,2.006402254E0,9.888355136E-1,6.409473896E0
8.266139154E1,9.991309166E0,-6.751855016E-1,-2.154847234E-2
8.276146746E1,5.035160065E0,1.466014481E1,1.779903984E1
8.286154088E1,-3.270579338E0,9.126976013E0,8.238699913E0
8.296159656E1,-4.161249638E0,2.305686712E0,-3.064671755E-1
