"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.038288679E1,-1.520179629E0,2.930373669E0,1.153200507E0
2.048295423E1,-6.784074306E-1,-3.670768738E-1,1.509945869E0
2.058302118E1,-7.853088379E-1,-3.283958435E0,-1.325079679E0
2.068308316E1,-9.923921227E-1,-2.214944363E0,-2.510158300E0
2.078315411E1,-1.015604973E0,-4.715348184E-1,-9.127456546E-1
2.088322253E1,-7.914859056E-2,5.046278238E-1,-4.631488621E-1
2.098329241E1,8.206559420E-1,4.141719818E0,1.263156414E0
2.108335536E1,-1.321648479E0,2.451455355E0,7.964552641E-1
2.118342327E1,-1.970387340E0,-1.491068959E0,1.045077443E0
2.128349135E1,2.782075703E-1,-2.229126692E-1,-6.384671926E-1
2.138355696E1,-9.306947589E-1,-1.013983130E0,-2.695250511E0
2.148362491E1,3.954937160E-1,-6.639574170E-1,2.900479734E-1
2.158369342E1,3.569407761E-2,-4.868064523E-1,-7.233774662E-1
2.168375650E1,4.895669520E-1,2.554080725E0,1.080101430E-1
2.178383306E1,4.987299144E-1,-1.015815735E0,2.052394390E0
2.188389697E1,-2.212290049E0,1.782557964E0,6.871104240E-1
2.198396495E1,4.932321608E-1,8.557427675E-2,-1.130100718E-4
2.208402843E1,2.073540449E0,-2.072001696E0,-1.090507388E0
2.218409597E1,-2.782906592E-1,-3.235699892E0,-1.551099896E0
2.228416815E1,-5.421844721E-1,1.961408854E-1,-4.631488621E-1
2.238423003E1,5.427122116E-1,7.282045484E-1,-2.041420043E-1
2.248429685E1,3.929085098E-3,2.704964399E0,1.618068933E0
2.258436673E1,-1.807286382E0,4.051922321E0,1.162974358E0
2.268442088E1,-1.324091911E0,-1.037196040E0,4.386929050E-2
2.278450463E1,7.216957211E-1,-2.328565121E0,-2.976043820E-1
2.288456947E1,-1.383956790E0,-2.369625717E-1,-2.339726925E0
2.298463166E1,-6.906247139E-1,4.673650563E-1,-1.025755763E0
2.308469890E1,3.411267102E-1,3.128161728E-1,-4.020623565E-1
2.318476495E1,-6.265522540E-2,1.942604661E0,1.236889124E0
2.328483110E1,4.681866765E-1,1.331128597E0,1.809269905E0
2.338490609E1,-1.611198664E0,-3.612046130E-3,1.015145063E0
2.348496717E1,9.110639691E-1,1.759823263E-1,-2.556471154E-3
2.358503535E1,2.399742603E0,-3.501426458E0,-7.355948091E-1
2.368511273E1,1.572562605E-1,-1.751908302E0,-3.812929392E-1
2.378516915E1,-1.573393345E-1,3.853765503E-2,-6.903907657E-1
2.388524577E1,5.213319659E-1,9.988178015E-1,-3.309973329E-2
2.398530165E1,9.910873175E-1,5.119582415E-1,2.908827305E0
2.408537416E1,-2.252607107E0,2.720236063E0,8.801438212E-1
2.418544251E1,2.769858539E-1,-1.766194776E-2,5.240094066E-1
2.428550522E1,-1.683349162E-1,-3.211265326E0,-2.728848219E0
2.438557154E1,-1.151896343E-1,-3.201491594E0,-2.913940191E0
2.448564342E1,1.230478063E-1,1.197827309E-1,-4.820857048E-1
2.458570804E1,1.692360640E0,1.142982006E0,-1.381685436E-1
