"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.790008648E0,1.985999870E1,-7.259999752E0,-5.879999638E0
1.800008648E0,1.997999954E1,-7.379999638E0,-5.279999733E0
1.810008648E0,2.015999985E1,-7.259999752E0,-5.339999676E0
1.820008648E0,2.010000038E1,-7.559999943E0,-5.519999981E0
1.830008648E0,1.997999954E1,-7.259999752E0,-5.099999905E0
1.840008614E0,1.997999954E1,-7.259999752E0,-5.400000095E0
1.850008614E0,1.968000031E1,-7.559999943E0,-5.460000038E0
1.860008647E0,1.961999893E1,-7.679999828E0,-5.460000038E0
1.870008647E0,1.973999977E1,-7.619999886E0,-5.579999924E0
1.880008647E0,1.979999924E1,-7.799999714E0,-5.159999847E0
1.890008613E0,1.968000031E1,-7.319999695E0,-4.739999771E0
1.900008646E0,2.015999985E1,-7.379999638E0,-4.319999695E0
1.910008679E0,1.985999870E1,-7.679999828E0,-4.440000057E0
1.920008679E0,1.992000008E1,-7.679999828E0,-4.559999943E0
1.930008679E0,2.003999901E1,-7.739999771E0,-4.739999771E0
1.940008645E0,1.985999870E1,-7.199999809E0,-5.159999847E0
1.950008678E0,2.010000038E1,-7.139999866E0,-4.799999714E0
1.960008678E0,2.015999985E1,-7.019999981E0,-5.159999847E0
1.970008678E0,2.021999931E1,-6.899999619E0,-5.339999676E0
1.980008678E0,2.010000038E1,-7.319999695E0,-5.639999866E0
1.990008678E0,1.997999954E1,-7.139999866E0,-6.000000000E0
2.000008644E0,1.985999870E1,-6.839999676E0,-6.059999943E0
2.010008677E0,1.955999947E1,-6.899999619E0,-6.239999771E0
2.020008710E0,1.968000031E1,-6.599999905E0,-5.639999866E0
2.030008710E0,1.919999886E1,-6.839999676E0,-5.159999847E0
2.040008710E0,1.913999939E1,-6.899999619E0,-4.920000076E0
2.050008676E0,1.973999977E1,-6.899999619E0,-4.500000000E0
2.060008709E0,1.968000031E1,-6.899999619E0,-4.679999828E0
2.070008709E0,2.057999992E1,-6.480000019E0,-4.980000019E0
2.080008709E0,2.069999886E1,-5.940000057E0,-5.159999847E0
2.090008675E0,2.027999878E1,-6.179999828E0,-5.519999981E0
2.100008675E0,2.052000046E1,-6.359999657E0,-5.579999924E0
2.110008708E0,1.997999954E1,-6.899999619E0,-5.819999695E0
2.120008708E0,2.003999901E1,-7.859999657E0,-6.000000000E0
2.130008708E0,2.003999901E1,-7.379999638E0,-5.579999924E0
2.140008708E0,2.015999985E1,-7.500000000E0,-5.639999866E0
2.150008674E0,2.015999985E1,-7.019999981E0,-5.460000038E0
2.160008640E0,2.015999985E1,-6.539999962E0,-5.579999924E0
2.170008673E0,2.021999931E1,-7.079999924E0,-5.759999752E0
2.180008673E0,1.979999924E1,-7.019999981E0,-5.339999676E0
2.190008673E0,2.021999931E1,-7.739999771E0,-5.219999790E0
2.200008639E0,1.979999924E1,-7.980000019E0,-5.039999962E0
2.210008639E0,2.010000038E1,-7.859999657E0,-4.739999771E0
2.220008672E0,2.039999962E1,-7.739999771E0,-4.920000076E0
2.230008672E0,1.997999954E1,-7.440000057E0,-5.159999847E0
2.240008672E0,2.045999908E1,-7.019999981E0,-5.219999790E0
2.250008638E0,1.973999977E1,-7.259999752E0,-5.339999676E0
2.260008671E0,1.961999893E1,-7.199999809E0,-5.099999905E0
2.270008704E0,1.985999870E1,-6.839999676E0,-4.739999771E0
2.280008704E0,1.919999886E1,-7.199999809E0,-4.319999695E0
2.290008704E0,1.961999893E1,-6.779999733E0,-4.799999714E0
2.300008704E0,1.973999977E1,-6.779999733E0,-5.219999790E0
2.310008670E0,1.931999969E1,-7.379999638E0,-5.579999924E0
2.320008670E0,1.955999947E1,-7.559999943E0,-5.639999866E0
2.330008703E0,1.919999886E1,-7.379999638E0,-5.400000095E0
2.340008703E0,1.902000046E1,-7.379999638E0,-5.099999905E0
2.350008703E0,1.931999969E1,-6.899999619E0,-5.039999962E0
2.360008669E0,1.968000031E1,-6.779999733E0,-5.159999847E0
2.370008702E0,2.010000038E1,-6.839999676E0,-4.980000019E0
2.380008735E0,2.045999908E1,-6.599999905E0,-5.460000038E0
2.390008735E0,2.039999962E1,-6.839999676E0,-5.039999962E0
2.400008701E0,2.034000015E1,-6.659999847E0,-5.039999962E0
2.410008667E0,2.027999878E1,-6.779999733E0,-5.219999790E0
2.420008700E0,2.015999985E1,-6.960000038E0,-4.679999828E0
2.430008700E0,2.045999908E1,-6.719999790E0,-4.679999828E0
2.440008700E0,2.027999878E1,-6.599999905E0,-4.440000057E0
2.450008700E0,1.997999954E1,-6.659999847E0,-4.139999866E0
2.460008700E0,1.961999893E1,-6.659999847E0,-4.199999809E0
2.470008666E0,1.931999969E1,-6.960000038E0,-4.199999809E0
2.480008699E0,1.955999947E1,-7.199999809E0,-4.259999752E0
2.490008732E0,1.968000031E1,-7.440000057E0,-4.440000057E0
2.500008732E0,1.997999954E1,-7.440000057E0,-4.739999771E0
2.510008698E0,2.003999901E1,-7.259999752E0,-5.339999676E0
2.520008664E0,1.968000031E1,-6.899999619E0,-5.639999866E0
2.530008697E0,1.973999977E1,-6.779999733E0,-5.519999981E0
2.540008697E0,1.968000031E1,-7.019999981E0,-5.579999924E0
2.550008697E0,1.985999870E1,-7.019999981E0,-5.039999962E0
2.560008663E0,2.027999878E1,-7.199999809E0,-4.679999828E0
2.570008663E0,2.021999931E1,-7.379999638E0,-4.559999943E0
2.580008696E0,2.003999901E1,-7.199999809E0,-4.259999752E0
2.590008696E0,1.992000008E1,-7.199999809E0,-4.619999886E0
2.600008696E0,1.997999954E1,-6.899999619E0,-5.039999962E0
2.610008696E0,1.985999870E1,-6.899999619E0,-5.219999790E0
2.620008662E0,1.985999870E1,-6.779999733E0,-4.920000076E0
2.630008628E0,1.997999954E1,-7.440000057E0,-5.039999962E0
2.640008661E0,1.950000000E1,-7.679999828E0,-4.859999657E0
2.650008661E0,1.955999947E1,-7.079999924E0,-5.099999905E0
2.660008661E0,1.968000031E1,-7.379999638E0,-5.400000095E0
2.670008627E0,1.943999863E1,-6.659999847E0,-5.460000038E0
2.680008627E0,1.985999870E1,-6.420000076E0,-5.400000095E0
2.690008660E0,2.003999901E1,-6.599999905E0,-5.460000038E0
2.700008660E0,2.010000038E1,-6.599999905E0,-5.279999733E0
2.710008660E0,2.027999878E1,-6.839999676E0,-5.159999847E0
2.720008626E0,1.997999954E1,-6.960000038E0,-5.219999790E0
2.730008659E0,1.979999924E1,-7.319999695E0,-4.920000076E0
2.740008692E0,1.955999947E1,-6.960000038E0,-5.039999962E0
2.750008692E0,1.968000031E1,-6.779999733E0,-4.739999771E0
2.760008692E0,1.992000008E1,-6.839999676E0,-4.679999828E0
2.770008692E0,2.015999985E1,-6.659999847E0,-4.799999714E0
2.780008658E0,2.027999878E1,-6.899999619E0,-4.859999657E0
2.790008658E0,2.003999901E1,-6.719999790E0,-4.859999657E0
2.800008691E0,1.979999924E1,-6.899999619E0,-4.799999714E0
2.810008691E0,1.961999893E1,-6.899999619E0,-4.739999771E0
2.820008691E0,1.961999893E1,-6.719999790E0,-4.679999828E0
2.830008657E0,1.992000008E1,-6.960000038E0,-5.039999962E0
2.840008690E0,2.010000038E1,-6.899999619E0,-5.339999676E0
2.850008690E0,2.010000038E1,-6.899999619E0,-5.460000038E0
