"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.692634477E1,1.386285067E0,6.210748672E0,9.680052757E0
3.702639639E1,2.226675600E-1,3.203539610E0,1.056593513E1
3.712646477E1,-1.771763414E-1,2.858764172E0,7.048745155E0
3.722653045E1,6.943396926E-1,3.225088120E0,6.035966873E0
3.732661204E1,9.337671846E-2,5.066285610E0,8.253065109E0
3.742666769E1,1.891477108E0,6.426233768E0,9.586676598E0
3.752673530E1,5.411061049E-1,4.010410309E0,1.275430202E1
3.762680052E1,-7.182824612E-2,1.654443860E0,7.671256542E0
3.772688826E1,4.501236677E-1,3.284945011E0,5.949772835E0
3.782694015E1,-9.816526622E-2,5.025582790E0,7.790970325E0
3.792701213E1,-6.632141471E-1,6.146103382E0,1.169603252E1
3.802707067E1,2.657645047E-1,4.905869007E0,1.142547894E1
3.812713456E1,-2.777358890E-1,2.624125242E0,8.049551964E0
3.822720614E1,-3.232271075E-1,2.844398499E0,6.907482624E0
3.832727009E1,-5.722316504E-1,3.605777979E0,8.174054146E0
3.842733504E1,-3.447755575E-1,5.001639843E0,1.024989033E1
3.852739982E1,1.098972082E0,5.664854050E0,1.272317600E1
3.862746854E1,-1.891477108E-1,1.994430900E0,9.981731415E0
3.872754192E1,1.458113313E0,2.619336605E0,5.868367672E0
3.882760417E1,-2.585816681E-1,3.349590540E0,7.968146324E0
3.892767935E1,-8.044763207E-1,4.872349262E0,8.281796455E0
3.902774324E1,-3.591412306E-1,6.103006363E0,1.087719059E1
3.912782515E1,2.298503816E-1,3.919427872E0,1.468887615E1
3.922789640E1,-1.158828974E0,2.123721838E0,7.360000610E0
3.932794634E1,3.399870098E-1,2.786935806E0,5.952167034E0
3.942801403E1,-1.407833576E0,3.275367975E0,7.173247337E0
3.952807794E1,-4.764606953E-1,4.623344421E0,1.271120453E1
3.962814549E1,6.225114465E-1,4.999245644E0,1.231854343E1
3.972821208E1,4.070267081E-1,2.631308079E0,9.897932053E0
3.982828193E1,5.482889414E-1,2.363149166E0,6.586649895E0
3.992834304E1,-2.873129770E-2,3.799714088E0,6.785374641E0
4.002841219E1,-1.817254543E0,5.511620522E0,9.589070320E0
4.012848300E1,3.615354896E-1,5.559505939E0,1.156195259E1
4.022854382E1,4.716721475E-1,3.088614464E0,1.031692982E1
4.032861273E1,-3.591412306E-1,2.511594296E0,7.043956280E0
4.042868748E1,3.328042030E-1,3.170019865E0,7.369577885E0
4.052873839E1,-1.149251938E0,4.065478802E0,7.695199013E0
4.062881684E1,6.608198285E-1,5.336838722E0,1.189475727E1
4.073077620E1,1.750214934E0,4.987274647E0,1.234248638E1
4.083084791E1,7.326480746E-1,2.695953369E0,7.862798691E0
4.093090532E1,4.956148863E-1,2.791724443E0,5.394300938E0
4.103097190E1,1.699935049E-1,4.019987583E0,8.190814018E0
4.113104279E1,-3.208328187E-1,5.056708336E0,9.158101082E0
4.123111473E1,9.457385540E-1,6.624958515E0,1.186842060E1
4.133117394E1,7.326480746E-1,2.595393896E0,7.017619610E0
4.143125876E1,-3.543526828E-1,2.648067951E0,6.751854897E0
4.153130031E1,5.482889414E-1,2.904255390E0,6.457359314E0
4.163137336E1,1.010383964E0,3.754222870E0,8.956981659E0
4.173144730E1,2.576239586E0,5.185999393E0,8.605023384E0
4.183150865E1,1.031932473E0,3.799714088E0,1.520125103E1
4.193157977E1,9.050358534E-1,1.778946161E0,6.177228928E0
4.203164315E1,8.810931444E-1,3.016786337E0,6.579467297E0
4.213171063E1,1.340793967E-1,4.053507328E0,8.504464149E0
4.223177882E1,-9.050358534E-1,5.669642925E0,1.177983189E1
4.233185243E1,4.788549617E-3,4.642498970E0,1.123872566E1
4.243191528E1,-2.777358890E-1,2.047105074E0,7.448588848E0
4.253197519E1,4.094209969E-1,2.329629421E0,8.736708641E0
4.263204824E1,9.577099234E-3,2.755810261E0,6.897905827E0
4.273211622E1,-1.197137386E-1,4.721509933E0,1.031453609E1
4.283219114E1,1.120520592E0,5.473312378E0,1.099211597E1
