"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.412818100E1,-8.022725582E-2,9.042549133E-2,-4.314154387E-2
1.422824653E1,-9.132081270E-2,1.217317581E-1,-5.869475007E-2
1.432831369E1,-3.470116854E-2,6.252384186E-2,-1.317539811E-2
1.442838052E1,-1.056320071E-1,8.933258057E-2,4.030318558E-2
1.452844856E1,-9.308278561E-2,8.200645447E-2,1.256522536E-2
1.462851565E1,-3.843665123E-3,2.716827393E-2,4.282192886E-2
1.472858298E1,-3.478378057E-2,1.342868805E-1,-9.764170647E-2
1.482865055E1,-1.876145601E-1,4.350185394E-2,-4.644358158E-2
1.492871801E1,-6.394255161E-2,5.166625977E-2,-2.367228270E-2
1.502878528E1,-7.551980019E-2,7.527732849E-2,3.398106992E-2
1.512885244E1,-3.666013479E-2,8.837127686E-2,-6.761461496E-2
1.522891811E1,-7.231712341E-2,7.440471649E-2,-6.150394678E-3
1.532898520E1,-1.198546290E-1,5.043029785E-2,-5.265024304E-2
1.542905227E1,-1.808173656E-1,6.720542908E-2,-2.503997087E-2
1.552912060E1,-2.889573574E-2,1.178016663E-1,-8.274471760E-2
1.562918774E1,3.641909361E-2,4.552364349E-2,8.041983843E-2
1.572925490E1,-2.745407820E-2,3.143596649E-2,-1.359522343E-3
1.582932180E1,-1.166358590E-1,1.045007706E-1,-3.566756845E-2
1.592938866E1,-2.146814466E-1,1.475648880E-1,-1.150513887E-1
1.602945606E1,-1.574261785E-1,9.913253784E-2,1.784849167E-1
1.612945633E1,8.924365044E-3,4.058647156E-2,1.231596470E-1
1.622952269E1,-1.967989802E-1,1.525440216E-1,-3.330340981E-2
1.632958919E1,5.500632524E-2,6.784343719E-2,1.359137893E-2
1.642972409E1,-7.146346569E-2,6.262874603E-2,-4.332968593E-2
1.652979228E1,-1.373200417E-1,6.813335419E-2,3.594592214E-2
1.662985981E1,-1.070986390E-1,7.099819183E-2,-1.049801707E-2
1.672992695E1,-7.772803307E-3,7.053565979E-2,-2.809983492E-2
1.682999408E1,-7.402449846E-2,8.168697357E-2,3.295263648E-2
1.693006114E1,-1.254990101E-1,1.160507202E-1,-8.636134863E-2
1.703012757E1,-5.702489614E-2,4.481697083E-2,7.748945057E-2
1.713019470E1,-2.001547813E-2,5.803012848E-2,5.741870403E-2
1.723026094E1,-8.578807116E-2,6.420993805E-2,3.739416599E-3
1.733032810E1,-9.321755171E-2,5.576896667E-2,3.046005964E-2
1.743039520E1,-1.045459509E-1,9.913158417E-2,-3.929486871E-2
