"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.228539252E1,5.238447250E1,5.208602290E0,-2.609922442E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
9.327669621E1,5.238447250E1,5.208602290E0,-2.566008317E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
9.427925717E1,5.238447250E1,5.208602290E0,-2.523085907E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
9.528765332E1,5.238447250E1,5.208602290E0,-2.518866906E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
9.627736259E1,5.238447250E1,5.208602290E0,-2.477720925E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
9.728197713E1,5.238447250E1,5.208602290E0,-2.439281309E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
9.833453401E1,5.238446629E1,5.208611262E0,-2.404495043E1,5.147525668E-1,0.000000000E0,2.400000000E1,0.000000000E0
9.933402859E1,5.238446629E1,5.208611262E0,-2.371419405E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.003377646E2,5.238446629E1,5.208611262E0,-2.367837070E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.013312783E2,5.238446629E1,5.208611262E0,-2.336140011E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.023357640E2,5.238446629E1,5.208611262E0,-2.305712554E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.033356322E2,5.238446629E1,5.208611262E0,-2.302833530E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.043446980E2,5.238446629E1,5.208611262E0,-2.299876329E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.053364164E2,5.238446629E1,5.208611262E0,-2.297148667E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.063446513E2,5.238446629E1,5.208611262E0,-2.294451854E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.073220118E2,5.238446629E1,5.208611262E0,-2.269847366E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.083343301E2,5.238446629E1,5.208611262E0,-2.248410657E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.093331154E2,5.238446629E1,5.208611262E0,-2.228244146E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.103324410E2,5.238441989E1,5.208690146E0,-2.211135005E1,7.089511752E-1,0.000000000E0,1.600000000E1,0.000000000E0
1.113378550E2,5.238442261E1,5.208707059E0,-2.052922836E1,0.000000000E0,0.000000000E0,1.600000000E1,0.000000000E0
1.123422520E2,5.238442543E1,5.208710363E0,-2.040457101E1,9.931926727E-1,0.000000000E0,1.600000000E1,0.000000000E0
1.133406947E2,5.238443276E1,5.208713012E0,-2.027385236E1,1.082885861E0,0.000000000E0,2.400000000E1,0.000000000E0
1.143429823E2,5.238443276E1,5.208713012E0,-2.013613986E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.153304060E2,5.238443276E1,5.208713012E0,-1.859405578E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.163285425E2,5.238443276E1,5.208713012E0,-1.726099556E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.173368103E2,5.238443276E1,5.208713012E0,-1.620575996E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.183359093E2,5.238443276E1,5.208713012E0,-1.536389653E1,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.203312126E2,5.238443276E1,5.208713012E0,-1.387889898E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.213336856E2,5.238443276E1,5.208713012E0,-1.302953073E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.223204561E2,5.238434664E1,5.208621303E0,-1.200479151E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.233435370E2,5.238434664E1,5.208621303E0,-1.098118403E1,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.313413354E2,5.238424330E1,5.208487472E0,-8.273308875E0,0.000000000E0,0.000000000E0,2.400000000E1,0.000000000E0
1.323138595E2,5.238427220E1,5.208522206E0,-8.236090914E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.333196083E2,5.238427147E1,5.208521861E0,-8.194876582E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.343245740E2,5.238427067E1,5.208522933E0,-8.191042159E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.353366372E2,5.238427520E1,5.208527924E0,-8.187899604E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.363233775E2,5.238427158E1,5.208525129E0,-8.153917875E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.373446265E2,5.238428091E1,5.208529026E0,-8.150957676E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.383301338E2,5.238427340E1,5.208523357E0,-8.119915572E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.393315987E2,5.238426529E1,5.208507180E0,-8.091151790E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.443047451E2,5.238425009E1,5.208473565E0,-7.780297575E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.523066497E2,5.238433372E1,5.208683803E0,-8.934795598E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.533079447E2,5.238433530E1,5.208687967E0,-8.936928343E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.542989347E2,5.238433551E1,5.208688331E0,-9.158621325E0,0.000000000E0,0.000000000E0,4.800000000E1,0.000000000E0
1.553049919E2,5.238434290E1,5.208696302E0,-9.184788044E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.563218208E2,5.238434551E1,5.208684821E0,-9.215140657E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.573363777E2,5.238434744E1,5.208686616E0,-9.218915130E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.583473379E2,5.238434881E1,5.208689279E0,-9.223432918E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
1.593333057E2,5.238435692E1,5.208701025E0,-9.272760808E0,0.000000000E0,0.000000000E0,3.200000000E1,0.000000000E0
