"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.177139745E1,-6.455624010E-3,-7.277237717E-3,-1.945605734E-3
1.187146587E1,-8.288219571E-3,8.605258539E-3,1.332602464E-2
1.197153211E1,3.019629046E-2,-1.779450453E-3,1.332602464E-2
1.207160526E1,1.736812107E-2,3.718336811E-3,-1.334740547E-3
1.217166491E1,5.150815938E-3,1.227045059E-2,1.108720433E-3
1.227173272E1,4.363532737E-2,-6.666372530E-3,9.660834447E-3
1.237180017E1,8.205141872E-3,-8.498968557E-3,1.821294799E-2
1.247186782E1,3.386148065E-2,-9.109833278E-3,1.719585620E-3
1.257193523E1,1.614639163E-2,-1.277502440E-2,1.719585620E-3
1.267200144E1,2.042244747E-2,-3.001180943E-3,-1.334740547E-3
1.277206859E1,2.897455916E-2,-1.644021645E-2,2.330451040E-3
1.287213720E1,-1.568701933E-3,-2.438146435E-2,-1.130100718E-4
1.297220838E1,1.736812107E-2,9.826988913E-3,1.210429519E-2
1.307227023E1,-1.561860275E-2,-5.577199627E-4,1.149342954E-2
1.317233618E1,2.286590822E-2,-3.354444355E-2,3.287371621E-2
1.327240333E1,1.675725542E-2,-4.833776504E-3,2.309986949E-2
1.337247141E1,-3.822061419E-2,7.383528166E-3,4.978551879E-4
1.347253869E1,-1.195341069E-2,1.410304569E-2,-1.334740547E-3
1.357260657E1,-1.745119877E-2,-3.612046130E-3,-4.999931902E-3
1.367267265E1,-1.745119877E-2,-1.949454285E-2,-3.778201528E-3
1.377273970E1,-1.867293008E-2,-1.338589005E-2,4.978551879E-4
1.387280741E1,-1.806206256E-2,3.107471392E-3,1.088256482E-2
1.397287409E1,-7.066489197E-3,5.550932605E-3,1.760208048E-2
1.407294104E1,7.594276685E-3,-5.444642156E-3,9.660834447E-3
1.417300802E1,3.318219911E-3,3.718336811E-3,1.638035290E-2
1.427307527E1,-1.684033312E-2,6.161797326E-3,2.248900384E-2
1.437314778E1,-1.134254597E-2,-1.705108024E-2,2.309986949E-2
1.447320970E1,1.064860262E-2,-1.949454285E-2,1.393689029E-2
1.457327744E1,4.539950285E-3,-1.779450453E-3,1.271515992E-2
1.467334393E1,1.485624351E-3,-1.094242930E-2,1.719585620E-3
1.477341134E1,-1.745119877E-2,-1.168585150E-3,-1.477377582E-2
1.487347849E1,-3.401297610E-3,-6.666372530E-3,1.088256482E-2
1.497354557E1,1.736812107E-2,-6.666372530E-3,1.454775594E-2
1.507361241E1,4.241359606E-2,-1.521848608E-2,2.065640874E-2
1.517367783E1,2.164417692E-2,-4.222911317E-3,9.660834447E-3
1.527375241E1,2.469850332E-2,-3.001180943E-3,1.719585620E-3
