"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.511163794E1,9.960182905E-1,9.826104164E0,-3.615354896E-1
1.521170692E1,9.481328130E-1,9.842864037E0,-3.639297783E-1
1.531177230E1,8.619389534E-1,9.806949615E0,-2.609759569E-1
1.541183922E1,7.901107073E-1,9.828497887E0,-5.339232683E-1
1.551190653E1,8.739103079E-1,9.828497887E0,-4.549122155E-1
1.561197354E1,1.003201127E0,9.814132690E0,-2.968900800E-1
1.571204119E1,8.978530765E-1,9.802161217E0,-3.759011328E-1
1.581210760E1,7.948992252E-1,9.838075638E0,-4.189980924E-1
1.591217588E1,5.195576549E-1,9.885960579E0,-4.692778587E-1
1.601224280E1,6.488484740E-1,9.833286285E0,-2.154847383E-1
1.611230944E1,7.302538157E-1,9.802161217E0,-1.819648892E-1
1.621237136E1,7.015225291E-1,9.876383781E0,-2.705530524E-1
1.631244857E1,9.744698405E-1,9.852440834E0,-2.202732861E-1
1.641251158E1,7.446194887E-1,9.833286285E0,-2.633702159E-1
1.651257950E1,6.991282701E-1,9.864412308E0,-2.873129845E-1
1.661264554E1,6.919454336E-1,9.878777504E0,-3.615354896E-1
1.671271553E1,8.523618579E-1,9.847652435E0,-3.136500120E-1
1.681277987E1,7.925049663E-1,9.845257759E0,-2.106961906E-1
1.691284679E1,8.332076073E-1,9.878777504E0,-3.088614643E-1
1.701291333E1,8.188419938E-1,9.845257759E0,-1.867534369E-1
1.711298038E1,8.284190893E-1,9.818921089E0,-1.675992310E-1
1.721304399E1,8.427847624E-1,9.818921089E0,-2.154847383E-1
1.731311454E1,8.571503758E-1,9.818921089E0,-2.681587934E-1
1.741318162E1,7.948992252E-1,9.847652435E0,-2.729473412E-1
1.751324887E1,8.715160489E-1,9.811738014E0,-2.753416002E-1
1.761331605E1,8.571503758E-1,9.809344292E0,-2.633702159E-1
1.771338250E1,8.763045669E-1,9.869200706E0,-3.902668059E-1
1.781345364E1,8.906702399E-1,9.850046158E0,-3.687183261E-1
1.791351762E1,9.098244309E-1,9.814132690E0,-4.189980924E-1
1.801358467E1,9.577099085E-1,9.840469360E0,-3.064671755E-1
1.811365258E1,9.361614585E-1,9.838075638E0,-3.567469418E-1
1.821371886E1,8.427847624E-1,9.828497887E0,-2.657645047E-1
1.831378555E1,8.834874034E-1,9.806949615E0,-3.064671755E-1
1.841385303E1,1.003201127E0,9.792584419E0,-3.902668059E-1
1.851392004E1,8.882759809E-1,9.840469360E0,-4.309694767E-1
1.861398679E1,9.170072675E-1,9.845257759E0,-3.399870098E-1
