"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.481296653E1,-1.281668305E0,3.495912552E0,2.813825607E-1
1.491303096E1,2.599384785E0,9.309701920E-1,-2.835391521E0
1.501309732E1,2.970016003E-1,-2.641897678E0,6.546573639E-1
1.511316382E1,2.257169008E0,-2.419635296E0,-4.026246071E-1
1.521323102E1,1.221409559E0,-4.123830318E0,3.802083969E0
1.531329815E1,3.632816076E0,-4.357202053E0,3.776888847E0
1.541337095E1,1.151117086E0,-4.348409176E0,5.261535645E0
1.551343985E1,-1.543545723E-2,-9.349186420E-1,6.653661728E-1
1.561350708E1,-2.466334343E0,-3.498601913E-2,-1.461683273E0
1.571356991E1,-1.124547243E0,3.078869343E0,-2.477486610E0
1.581363528E1,-3.185853958E0,2.089893341E0,-9.196877480E-1
1.591370301E1,-1.315172315E0,3.948165894E0,-3.083807230E0
1.601376934E1,-1.897732973E0,2.978796959E0,-2.624056578E0
1.611384227E1,-2.678939104E-1,1.182690620E0,-2.182006836E0
1.621391220E1,-1.376766324E0,-1.950120449E0,1.611032009E0
1.631397880E1,5.007348061E-1,-1.812757492E0,2.144269943E0
1.641403970E1,2.841286182E0,-4.639577389E0,3.611346722E0
1.651410239E1,6.331513405E0,-6.374610424E0,6.739761353E0
1.661416849E1,4.631214142E0,-5.306826115E0,7.261419296E-1
1.671423679E1,-3.565852642E-1,-2.083232880E0,1.425352097E0
1.681430455E1,-1.760008335E-1,1.175597191E0,-4.321260929E0
1.691437318E1,-3.985383987E0,2.646887779E0,-3.424803734E0
1.701443958E1,-2.875449181E0,5.103448391E0,-4.989191055E0
1.711450685E1,-4.149500847E0,4.355957985E0,-3.306014061E0
1.721457721E1,1.678705215E-3,-2.402753830E-1,-9.823243618E-1
1.731464864E1,-2.770221233E0,-2.244296551E0,6.200346947E-1
1.741471584E1,3.967795372E-1,-3.235246181E0,-1.797235012E-1
1.751477867E1,2.293878794E0,-3.129333973E0,3.711184502E0
1.761484070E1,3.509846210E0,-4.519819736E0,7.138638496E0
1.771490766E1,4.936488152E0,-3.338965416E0,3.794109821E0
1.781497676E1,4.681729317E0,-3.310745239E0,4.072628021E0
1.791504443E1,-1.041401148E0,-1.047653675E0,1.254272461E-2
1.801512266E1,-2.101014137E0,1.048073769E0,-3.242420197E0
1.811519305E1,-5.202011108E0,2.815450191E0,-3.499706745E0
1.821526019E1,-3.348427534E0,3.636846542E0,-4.060905933E0
1.831531662E1,-3.890006542E0,3.715383530E0,-4.411723614E0
1.841537978E1,5.269811153E-1,1.113600731E0,-4.253792763E0
1.851544595E1,-1.637196898E0,-1.660584450E0,1.979282379E0
1.861551178E1,2.084700584E0,-1.704093933E0,1.659697533E0
1.871557971E1,6.102715969E0,-3.313332081E0,1.843989849E0
1.881564847E1,3.887034893E0,-5.214367390E0,8.284925461E0
1.891571614E1,7.184517384E0,-2.675015926E0,4.915575981E-1
1.901582408E1,3.527293205E-1,-1.605103493E0,1.509266853E0
1.911589551E1,-1.941749692E0,-7.181167603E-2,-1.242415905E0
1.921596311E1,-2.277746916E0,1.605268002E0,-3.070126772E0
1.931603534E1,-2.437897205E0,3.270414352E0,-4.425352097E0
1.941609784E1,-5.048906803E0,7.088240623E0,-7.714930534E0
1.951616396E1,-1.522903919E0,2.302656174E-1,-3.056192398E0
1.961622473E1,2.207317352E-1,-8.485937119E-1,-5.823378563E-1
1.971629806E1,7.961051464E-1,-2.721766949E0,3.226237297E-1
1.981636686E1,3.010248184E0,-2.591905594E0,1.789320946E0
1.991643302E1,3.170582533E0,-4.040170670E0,6.718242168E0
2.001649395E1,5.307803154E0,-2.745405197E0,2.929387093E0
2.011656005E1,1.837806940E0,-2.951243162E0,3.628657818E0
2.021662838E1,-1.462267637E0,-3.131666183E-1,-8.098373413E-1
2.031669555E1,-1.950369000E0,1.164580345E0,-3.136522055E0
2.041676411E1,-3.410804272E0,2.612034798E0,-3.782981396E0
2.051682891E1,-7.812203884E0,7.025535583E0,-6.706347466E0
2.061689484E1,-1.488639355E0,1.050817490E0,-2.038924456E0
2.071696147E1,-8.874931931E-1,3.671665192E-1,-2.249711990E0
2.081702984E1,-5.497963428E-1,-3.422493458E0,4.022057533E0
