"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.174845415E1,-4.490146935E-1,7.404322028E-1,7.727329135E-1
2.184852214E1,-2.376552820E-1,-9.950751066E-2,7.110355496E-1
2.194859438E1,-2.480399907E-1,3.427198529E-2,2.913711369E-1
2.204865973E1,-2.407096028E-1,-4.666375220E-1,-4.826996103E-2
2.214871981E1,-5.058251619E-1,-4.886286557E-1,3.847290576E-2
2.224878412E1,-8.674573302E-1,5.382358432E-1,4.031594396E-1
2.234885307E1,4.941612780E-1,9.841283411E-2,-5.058080554E-1
2.244891841E1,5.265371203E-1,1.949295551E-1,-6.939545274E-1
2.254897702E1,4.733918309E-1,2.431878895E-1,-2.810096145E-1
2.264906437E1,2.944083214E-1,-1.526527852E-1,-5.491794348E-1
2.274912209E1,2.754715383E-1,2.218076140E-1,-4.862603545E-1
2.284919167E1,4.672831893E-1,-1.798323750E0,1.999961138E0
2.294925531E1,-1.661840528E-1,6.891195178E-1,7.605156302E-1
2.304932126E1,-4.502363801E-1,2.572377920E-1,4.086572528E-1
2.314939020E1,-8.173664212E-1,-5.368870497E-1,1.007811576E-1
2.324945512E1,-9.450372458E-1,-4.758005142E-1,-8.186754584E-2
2.334953217E1,-7.211080939E-2,-2.510021031E-1,-2.895617485E-1
2.344959055E1,5.900671482E-1,-1.422680616E-1,-5.039754510E-1
2.354966566E1,9.284864664E-1,-3.566817641E-1,-2.078102529E-2
2.364973144E1,3.096799552E-1,2.865593135E-1,-4.948124588E-1
2.374979255E1,3.774860203E-1,3.164917231E-1,-5.277991891E-1
2.384986261E1,1.355833709E-1,1.436168700E-1,-5.094732642E-1
2.394993312E1,1.160356849E-1,-3.560709357E-1,4.190419614E-1
2.404999477E1,-3.555522859E-1,3.189351857E-1,3.151948452E-1
2.415006583E1,-5.809615254E-1,3.128265440E-1,5.601518154E-1
2.425012521E1,-1.826774180E-1,4.893274978E-2,3.781139851E-1
2.435019289E1,-8.576835394E-1,-3.517948687E-1,-1.258498430E-1
2.445027281E1,-3.964802623E-1,-5.723171830E-1,1.038354859E-1
2.455032179E1,4.440703094E-1,-6.529904902E-2,-8.370014280E-2
2.465039581E1,7.794353366E-1,-9.523144364E-2,-3.359874785E-1
2.475048142E1,6.474884748E-1,-1.343268305E-1,-5.094732642E-1
2.485053620E1,4.257443547E-1,-1.972459406E-1,-9.169203639E-1
2.495059901E1,6.533387303E-2,-1.887329295E-2,-6.188181043E-1
2.505066452E1,-2.914114296E-1,1.833231002E-1,7.189767957E-1
2.515073097E1,-1.338081956E-1,8.247316480E-1,8.069413900E-1
2.525080472E1,-3.286742270E-1,4.417191148E-1,5.448802114E-1
2.535086843E1,-6.304416656E-1,2.407444268E-1,1.979087442E-1
2.545093294E1,-8.705116510E-1,-4.959590435E-1,-3.353766203E-1
2.555099516E1,-3.720456660E-1,-4.037183821E-1,7.145962864E-2
2.565106824E1,-1.374733895E-1,2.633073553E-2,3.481815755E-1
2.575113436E1,6.462666988E-1,1.112410054E-1,-6.659591943E-2
2.585120064E1,3.567165732E-1,2.547943294E-1,-5.699488521E-1
2.595127558E1,2.644759417E-1,9.780196846E-2,-5.962160826E-1
2.605134036E1,2.669194043E-1,2.554051876E-1,-5.180253386E-1
2.615140738E1,6.166867912E-2,-8.240327239E-2,-2.022080123E-1
2.625158788E1,-4.905534983E-1,-3.725642562E-1,1.247986078E0
2.635165099E1,4.700791091E-2,-6.089690924E-1,9.065123796E-1
2.645171454E1,2.473717183E-1,-6.156886816E-1,6.175732017E-1
2.655177828E1,-4.752818644E-1,7.825428247E-2,8.540507406E-3
