"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.257900329E1,8.403904438E-1,9.182044029E0,1.429382086E0
2.267908837E1,-1.367130876E0,1.115492630E1,8.619389534E-1
2.277914211E1,-4.494053841E0,1.596981335E1,-3.514795303E0
2.287920999E1,3.208328247E0,8.528407097E0,1.675992310E-1
2.297928047E1,-4.237866402E-1,9.481328011E0,2.461314440E0
2.307934212E1,4.252232075E0,6.579467297E0,2.827638626E0
2.317941063E1,3.225088120E0,3.964919090E0,8.506858826E0
2.327947564E1,7.905895233E0,2.751021862E0,1.168884945E1
2.337955259E1,9.888355255E0,3.713520288E0,9.129369736E0
2.347960981E1,6.064698219E0,4.154066563E0,8.530800819E0
2.357968309E1,4.180403709E0,7.307326794E0,4.197163582E0
2.367975193E1,1.304879785E0,8.674457550E0,2.499622822E0
2.377981478E1,-4.884320498E-1,1.115253162E1,7.422251701E-1
2.387988460E1,-2.681587934E-1,1.368328094E1,-1.340793848E0
2.397995198E1,-5.147690773E-1,1.078860188E1,9.864411950E-1
2.408003367E1,8.379961550E-2,9.222746849E0,2.717501879E0
2.418008082E1,1.568249941E0,6.742278099E0,5.830059052E0
2.428015177E1,4.019987583E0,6.577073097E0,5.073468208E0
2.438021339E1,6.423839092E0,4.695172787E0,8.561926842E0
2.448029407E1,7.551542759E0,4.340820312E0,8.875576973E0
2.458034252E1,8.482915878E0,3.751828671E0,7.790970325E0
2.468041977E1,4.450956821E0,5.937801361E0,5.626545906E0
2.478050231E1,2.415823221E0,7.862798691E0,3.177202702E0
2.488055729E1,8.930644989E-1,9.941028595E0,1.120520592E0
2.498062121E1,-4.022381783E0,1.297457504E1,-1.137280583E0
2.508068738E1,-7.302538157E-1,1.267529106E1,1.963305324E-1
2.518075286E1,1.551490068E0,1.030256462E1,-2.825244367E-1
2.528082538E1,1.498816013E0,7.113390446E0,3.277762175E0
2.538088582E1,3.143682718E0,5.492466450E0,4.798126698E0
2.548095327E1,6.074275017E0,4.551516533E0,8.724737167E0
2.558101945E1,1.304161453E1,2.482862949E0,1.159547329E1
2.568109133E1,9.021627426E0,3.483669758E0,9.009655952E0
2.578115485E1,5.506832123E0,3.857176781E0,8.650514603E0
2.588122110E1,4.292934895E0,6.727912426E0,1.874717116E0
2.598129785E1,1.197137404E-2,8.657697678E0,4.094210148E0
2.608135756E1,-1.103760719E0,1.266571331E1,1.699935049E-1
2.618142780E1,-2.001613855E0,1.470084763E1,-1.338399649E0
